"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2024","1,380.38","1,380.38","1,380.38","1,380.38","","-0.39%"
"07/08/2024","1,385.82","1,385.82","1,385.82","1,385.82","","-0.13%"
"07/05/2024","1,387.56","1,387.56","1,387.56","1,387.56","","-0.29%"
"07/04/2024","1,391.54","1,391.54","1,391.54","1,391.54","","0.83%"
"07/03/2024","1,380.10","1,380.10","1,380.10","1,380.10","","0.73%"
"07/02/2024","1,370.05","1,370.05","1,370.05","1,370.05","","-0.01%"
"07/01/2024","1,370.17","1,370.17","1,370.17","1,370.17","","1.43%"
"06/28/2024","1,350.85","1,350.85","1,350.85","1,350.85","","-0.17%"
"06/27/2024","1,353.16","1,353.16","1,353.16","1,353.16","","0.21%"
"06/26/2024","1,350.39","1,350.39","1,350.39","1,350.39","","-0.72%"
"06/25/2024","1,360.24","1,360.24","1,360.24","1,360.24","","-0.24%"
"06/24/2024","1,363.51","1,363.51","1,363.51","1,363.51","","1.12%"
"06/21/2024","1,348.38","1,348.38","1,348.38","1,348.38","","-0.75%"
"06/20/2024","1,358.54","1,358.54","1,358.54","1,358.54","","0.76%"
"06/19/2024","1,348.30","1,348.30","1,348.30","1,348.30","","-0.34%"
"06/18/2024","1,352.94","1,352.94","1,352.94","1,352.94","","0.53%"
"06/17/2024","1,345.87","1,345.87","1,345.87","1,345.87","","1.64%"
"06/14/2024","1,324.14","1,324.14","1,324.14","1,324.14","","-1.38%"
"06/13/2024","1,342.64","1,342.64","1,342.64","1,342.64","","-2.30%"
"06/12/2024","1,374.30","1,374.30","1,374.30","1,374.30","","1.42%"
"06/11/2024","1,355.09","1,355.09","1,355.09","1,355.09","","-1.59%"
"06/10/2024","1,377.04","1,377.04","1,377.04","1,377.04","","-0.64%"
"06/07/2024","1,385.90","1,385.90","1,385.90","1,385.90","","0.12%"
"06/06/2024","1,384.26","1,384.26","1,384.26","1,384.26","","0.63%"
"06/05/2024","1,375.53","1,375.53","1,375.53","1,375.53","","-0.08%"
"06/04/2024","1,376.64","1,376.64","1,376.64","1,376.64","","-1.47%"
"06/03/2024","1,397.18","1,397.18","1,397.18","1,397.18","","0.68%"
"05/31/2024","1,387.76","1,387.76","1,387.76","1,387.76","","0.25%"
"05/30/2024","1,384.30","1,384.30","1,384.30","1,384.30","","0.64%"
"05/29/2024","1,375.50","1,375.50","1,375.50","1,375.50","","-1.00%"
"05/28/2024","1,389.36","1,389.36","1,389.36","1,389.36","","-0.39%"
"05/27/2024","1,394.86","1,394.86","1,394.86","1,394.86","","0.03%"
"05/24/2024","1,394.43","1,394.43","1,394.43","1,394.43","","-0.44%"
"05/23/2024","1,400.55","1,400.55","1,400.55","1,400.55","","0.37%"
"05/22/2024","1,395.39","1,395.39","1,395.39","1,395.39","","-0.57%"
"05/21/2024","1,403.32","1,403.32","1,403.32","1,403.32","","-0.22%"
"05/20/2024","1,406.42","1,406.42","1,406.42","1,406.42","","0.24%"
"05/17/2024","1,403.06","1,403.06","1,403.06","1,403.06","","1.09%"
"05/16/2024","1,387.87","1,387.87","1,387.87","1,387.87","","-0.39%"
"05/15/2024","1,393.36","1,393.36","1,393.36","1,393.36","","0.20%"
"05/14/2024","1,390.51","1,390.51","1,390.51","1,390.51","","0.69%"
"05/13/2024","1,380.94","1,380.94","1,380.94","1,380.94","","0.06%"
"05/10/2024","1,380.10","1,380.10","1,380.10","1,380.10","","0.51%"
"05/09/2024","1,373.16","1,373.16","1,373.16","1,373.16","","0.21%"
"05/08/2024","1,370.23","1,370.23","1,370.23","1,370.23","","-0.30%"
