"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2024","13,710.12","13,753.65","13,838.78","13,694.85","1.29M","-0.44%"
"07/09/2024","13,771.02","13,735.78","13,773.32","13,677.02","3.71M","0.36%"
"07/08/2024","13,721.42","13,567.76","13,757.36","13,553.19","1.90M","1.17%"
"07/05/2024","13,563.12","13,751.92","13,787.22","13,551.24","2.30M","-1.19%"
"07/04/2024","13,725.86","13,792.22","13,796.48","13,640.42","2.25M","0.18%"
"07/03/2024","13,701.13","13,795.24","13,893.98","13,652.59","3.39M","-0.31%"
"07/02/2024","13,743.98","13,798.95","13,835.81","13,691.92","2.84M","-0.78%"
"07/01/2024","13,852.14","13,881.23","13,949.98","13,806.95","","0.25%"
"06/28/2024","13,817.94","13,653.87","13,895.66","13,653.87","7.42M","1.16%"
"06/27/2024","13,660.16","13,596.24","13,693.98","13,537.61","7.46M","0.90%"
"06/26/2024","13,538.12","13,680.04","13,685.73","13,527.99","5.18M","-0.58%"
"06/25/2024","13,617.29","13,437.52","13,680.46","13,374.87","6.69M","1.27%"
"06/24/2024","13,445.94","13,254.98","13,506.36","13,156.74","2.68M","1.35%"
"06/21/2024","13,266.46","13,333.12","13,377.95","13,194.27","7.38M","-0.41%"
"06/20/2024","13,320.92","13,336.18","13,544.07","13,187.38","3.73M","0.40%"
"06/19/2024","13,267.77","12,945.78","13,300.49","12,871.64","4.18M","2.48%"
"06/18/2024","12,946.24","12,959.33","13,165.52","12,918.46","5.22M","0.63%"
"06/17/2024","12,864.97","12,657.95","12,879.01","12,652.86","3.91M","1.84%"
"06/14/2024","12,633.15","12,557.73","12,633.15","12,474.45","7.56M","0.72%"
"06/13/2024","12,542.69","12,802.79","12,805.66","12,533.05","3.86M","-1.99%"
"06/12/2024","12,796.71","12,605.17","12,839.37","12,557.54","4.61M","2.31%"
"06/11/2024","12,508.06","12,658.57","12,724.64","12,494.98","3.56M","-1.08%"
"06/10/2024","12,644.20","12,600.90","12,675.90","12,525.35","2.85M","-0.22%"
"06/07/2024","12,672.19","12,886.50","12,910.16","12,605.26","3.78M","-1.73%"
"06/06/2024","12,895.43","12,875.07","12,929.00","12,716.72","3.36M","0.85%"
"06/05/2024","12,787.29","12,663.25","12,802.99","12,608.97","3.62M","1.50%"
"06/04/2024","12,598.66","13,133.69","13,141.02","12,581.59","5.88M","-4.27%"
"06/03/2024","13,160.76","13,319.32","13,339.77","13,115.44","3.37M","0.15%"
"05/31/2024","13,141.05","12,911.31","13,267.79","12,911.16","10.25M","2.08%"
"05/29/2024","12,872.67","13,015.84","13,020.49","12,872.01","4.37M","-1.38%"
"05/28/2024","13,053.07","13,200.71","13,204.04","12,948.99","4.00M","-0.52%"
"05/27/2024","13,121.44","13,051.70","13,142.23","13,033.85","2.43M","1.07%"
"05/24/2024","12,982.12","13,061.32","13,061.32","12,861.55","3.07M","-1.11%"
"05/23/2024","13,127.60","12,872.17","13,247.93","12,828.38","5.82M","2.32%"
"05/22/2024","12,829.87","12,868.59","12,883.41","12,751.12","4.55M","-0.31%"
"05/21/2024","12,870.04","12,934.44","12,993.54","12,810.38","4.74M","-1.04%"
"05/20/2024","13,004.78","13,015.85","13,082.73","12,953.33","5.14M","0.12%"
"05/17/2024","12,988.78","13,040.00","13,040.00","12,803.66","5.60M","-0.56%"
"05/16/2024","13,062.14","13,243.33","13,283.33","13,035.33","5.43M","-1.17%"
"05/15/2024","13,216.26","13,181.79","13,229.37","13,084.19","7.57M","0.28%"
"05/14/2024","13,179.49","13,206.05","13,307.77","13,005.78","6.62M","-0.40%"
"05/13/2024","13,231.99","13,172.28","13,253.10","13,086.45","5.24M","1.00%"
