"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2024","2,238.08","2,206.14","2,239.05","2,206.14","2.75M","1.66%"
"07/09/2024","2,201.46","2,204.06","2,223.93","2,201.38","5.78M","-0.12%"
"07/08/2024","2,204.07","2,218.55","2,226.29","2,203.12","4.88M","-0.65%"
"07/05/2024","2,218.55","2,218.74","2,228.98","2,207.09","5.92M","-0.01%"
"07/04/2024","2,218.74","2,223.50","2,238.40","2,218.40","5.64M","-0.21%"
"07/03/2024","2,223.50","2,197.34","2,223.50","2,197.34","8.03M","1.19%"
"07/02/2024","2,197.35","2,205.05","2,205.05","2,190.51","5.87M","-0.35%"
"07/01/2024","2,205.05","2,208.48","2,228.95","2,204.46","5.65M","-0.15%"
"06/28/2024","2,208.47","2,222.26","2,236.54","2,204.77","6.81M","-0.62%"
"06/27/2024","2,222.26","2,194.46","2,225.11","2,194.46","6.89M","1.27%"
"06/26/2024","2,194.46","2,208.67","2,231.26","2,181.28","6.05M","-0.64%"
"06/25/2024","2,208.67","2,223.14","2,225.64","2,205.68","3.70M","-0.65%"
"06/24/2024","2,223.15","2,205.77","2,229.60","2,199.38","4.47M","0.79%"
"06/21/2024","2,205.77","2,203.82","2,214.57","2,198.40","12.28M","0.09%"
"06/20/2024","2,203.82","2,177.78","2,203.84","2,177.78","5.30M","1.20%"
"06/19/2024","2,177.78","2,189.47","2,195.56","2,174.94","3.84M","-0.53%"
"06/18/2024","2,189.47","2,164.52","2,194.22","2,164.52","6.53M","1.15%"
"06/17/2024","2,164.52","2,161.05","2,187.59","2,160.24","4.74M","0.16%"
"06/14/2024","2,161.05","2,147.30","2,165.19","2,131.92","6.10M","0.64%"
"06/13/2024","2,147.30","2,200.83","2,200.83","2,147.30","5.77M","-2.44%"
"06/12/2024","2,200.91","2,172.79","2,212.06","2,169.91","7.73M","1.29%"
"06/11/2024","2,172.79","2,191.63","2,200.26","2,167.45","6.68M","-0.86%"
"06/10/2024","2,191.63","2,203.84","2,203.84","2,183.79","6.51M","-0.55%"
"06/07/2024","2,203.84","2,267.38","2,269.05","2,196.52","12.87M","-2.80%"
"06/06/2024","2,267.39","2,290.82","2,317.55","2,259.96","10.36M","-1.02%"
"06/05/2024","2,290.82","2,275.96","2,300.37","2,275.96","5.78M","0.65%"
"06/04/2024","2,275.96","2,253.02","2,276.66","2,243.30","5.83M","1.02%"
"06/03/2024","2,253.02","2,239.30","2,258.58","2,237.11","10.69M","0.61%"
"05/31/2024","2,239.30","2,209.38","2,239.38","2,200.53","18.03M","1.35%"
"05/30/2024","2,209.38","2,181.97","2,209.48","2,170.55","5.79M","1.26%"
"05/29/2024","2,181.97","2,212.75","2,212.75","2,172.94","10.34M","-1.39%"
"05/28/2024","2,212.75","2,224.43","2,248.48","2,209.41","6.81M","-0.53%"
"05/27/2024","2,224.43","2,224.06","2,227.73","2,214.78","8.07M","0.02%"
"05/24/2024","2,224.06","2,240.77","2,240.77","2,220.14","6.77M","-0.75%"
"05/23/2024","2,240.77","2,264.97","2,266.36","2,234.96","7.65M","-1.07%"
"05/22/2024","2,264.97","2,253.54","2,265.80","2,231.41","5.97M","0.51%"
"05/21/2024","2,253.54","2,265.20","2,265.20","2,245.30","7.61M","-0.51%"
"05/20/2024","2,265.20","2,276.01","2,286.25","2,259.83","4.30M","-0.47%"
"05/17/2024","2,276.01","2,261.57","2,276.12","2,255.69","6.15M","0.64%"
"05/16/2024","2,261.58","2,252.83","2,269.11","2,250.12","9.56M","0.39%"
"05/15/2024","2,252.82","2,170.49","2,252.82","2,170.49","13.24M","3.79%"
"05/14/2024","2,170.49","2,182.53","2,182.53","2,155.73","6.77M","-0.55%"
"05/13/2024","2,182.53","2,200.46","2,207.26","2,164.32","4.34M","-0.81%"
"05/10/2024","2,200.46","2,202.07","2,224.84","2,199.07","6.39M","-0.07%"
"05/09/2024","2,202.07","2,190.06","2,209.97","2,186.47","4.46M","0.55%"
"05/08/2024","2,190.06","2,207.02","2,212.39","2,178.50","6.38M","-0.77%"
"05/07/2024","2,207.02","2,175.09","2,209.50","2,175.09","9.39M","1.47%"
"05/06/2024","2,175.09","2,172.54","2,178.80","2,164.35","6.52M","0.12%"
"05/03/2024","2,172.54","2,136.51","2,182.50","2,136.51","11.69M","1.69%"
"05/02/2024","2,136.51","2,116.43","2,139.38","2,115.56","7.82M","0.95%"
"04/30/2024","2,116.44","2,095.42","2,135.98","2,091.80","14.75M","1.00%"
"04/29/2024","2,095.42","2,085.28","2,103.41","2,085.28","9.10M","0.49%"
"04/26/2024","2,085.28","2,046.89","2,096.89","2,046.89","11.59M","1.88%"
"04/25/2024","2,046.90","2,049.78","2,068.67","2,033.93","8.85M","-0.14%"
"04/24/2024","2,049.78","2,109.76","2,119.50","2,046.34","7.83M","-2.84%"
"04/23/2024","2,109.76","2,087.73","2,125.27","2,087.73","7.86M","1.06%"
"04/22/2024","2,087.73","2,071.27","2,097.85","2,071.27","6.88M","0.79%"
"04/19/2024","2,071.27","2,067.92","2,075.88","2,050.30","5.52M","0.16%"
"04/18/2024","2,067.92","2,052.43","2,070.44","2,052.43","5.58M","0.75%"
"04/17/2024","2,052.43","2,052.34","2,069.69","2,047.39","6.87M","0.00%"
"04/16/2024","2,052.34","2,099.44","2,099.44","2,044.42","10.62M","-2.24%"
"04/15/2024","2,099.44","2,101.79","2,122.25","2,099.05","7.20M","-0.11%"
"04/12/2024","2,101.79","2,087.95","2,118.70","2,087.95","9.27M","0.66%"
"04/11/2024","2,087.95","2,090.96","2,103.93","2,073.12","10.62M","-0.14%"
"04/10/2024","2,090.96","2,088.29","2,121.19","2,072.28","14.42M","0.13%"
"04/09/2024","2,088.29","2,102.98","2,102.98","2,084.57","6.79M","-0.70%"
"04/08/2024","2,102.98","2,081.85","2,103.56","2,080.22","7.64M","1.01%"
"04/05/2024","2,081.85","2,096.88","2,096.88","2,072.40","8.81M","-0.72%"
"04/04/2024","2,096.90","2,096.88","2,100.69","2,087.67","6.97M","0.00%"
"04/03/2024","2,096.88","2,104.34","2,109.45","2,093.65","7.16M","-0.35%"
"04/02/2024","2,104.34","2,159.38","2,159.38","2,099.96","12.56M","-2.55%"
"03/28/2024","2,159.39","2,148.16","2,160.41","2,141.94","11.78M","0.52%"
"03/27/2024","2,148.16","2,144.10","2,154.84","2,129.85","23.79M","0.19%"
"03/26/2024","2,144.10","2,117.42","2,153.74","2,111.03","8.60M","1.26%"
"03/25/2024","2,117.42","2,105.80","2,118.09","2,100.52","8.09M","0.55%"
"03/22/2024","2,105.80","2,091.50","2,109.01","2,084.58","15.21M","0.68%"
"03/21/2024","2,091.50","2,060.24","2,103.59","2,060.24","9.32M","1.52%"
"03/20/2024","2,060.24","2,057.34","2,066.30","2,043.89","6.90M","0.14%"
"03/19/2024","2,057.34","2,039.25","2,059.53","2,025.81","7.08M","0.89%"
"03/18/2024","2,039.25","2,015.17","2,050.79","2,015.17","8.60M","1.19%"
"03/15/2024","2,015.17","2,094.89","2,095.09","2,010.12","31.68M","-3.91%"
"03/14/2024","2,097.11","2,102.90","2,111.31","2,090.63","9.46M","-0.13%"
"03/13/2024","2,099.74","2,142.43","2,142.67","2,094.74","6.86M","-1.45%"
"03/12/2024","2,130.69","2,143.30","2,151.83","2,125.82","9.42M","-0.26%"
"03/11/2024","2,136.32","2,108.27","2,136.32","2,108.27","9.28M","1.32%"
"03/08/2024","2,108.52","2,117.46","2,124.07","2,092.84","","-0.07%"
"03/07/2024","2,109.96","2,068.75","2,116.74","2,060.43","","1.78%"
"03/06/2024","2,073.01","2,092.39","2,110.62","2,070.39","","-0.99%"
"03/05/2024","2,093.68","2,089.79","2,098.46","2,081.40","","0.18%"
"03/04/2024","2,089.84","2,111.46","2,112.93","2,080.98","","-0.93%"
"03/01/2024","2,109.54","2,097.04","2,113.26","2,083.20","","1.06%"
"02/29/2024","2,087.33","2,090.51","2,105.02","2,079.48","","0.44%"
"02/28/2024","2,078.24","2,107.50","2,107.50","2,074.41","","-1.15%"
"02/27/2024","2,102.45","2,089.40","2,110.70","2,082.35","","0.39%"
"02/26/2024","2,094.35","2,098.07","2,103.04","2,089.36","","-0.40%"
"02/23/2024","2,102.67","2,092.65","2,105.96","2,084.17","","0.75%"
"02/22/2024","2,086.92","2,080.45","2,093.64","2,070.79","","0.73%"
"02/21/2024","2,071.89","2,088.23","2,090.28","2,071.84","","-0.98%"
"02/20/2024","2,092.34","2,082.76","2,096.94","2,075.87","","0.28%"
"02/19/2024","2,086.59","2,085.92","2,094.02","2,076.50","","-0.04%"
"02/16/2024","2,087.37","2,079.46","2,093.55","2,069.05","","0.68%"
"02/15/2024","2,073.22","2,065.47","2,077.81","2,060.24","","0.86%"
"02/14/2024","2,055.54","2,050.59","2,065.39","2,046.52","","0.03%"
"02/13/2024","2,055.02","2,088.03","2,093.51","2,035.47","","-1.53%"
"02/12/2024","2,086.94","2,071.44","2,089.69","2,071.44","","1.09%"
"02/09/2024","2,064.48","2,089.48","2,096.97","2,055.50","","-1.04%"
"02/08/2024","2,086.14","2,089.50","2,093.20","2,073.07","","0.18%"
"02/07/2024","2,082.31","2,107.22","2,110.97","2,082.31","","-1.14%"
"02/06/2024","2,106.29","2,118.79","2,118.79","2,095.15","","-0.30%"
"02/05/2024","2,112.56","2,118.00","2,125.04","2,105.34","","-0.24%"
"02/02/2024","2,117.69","2,151.86","2,163.30","2,117.65","","-1.07%"
"02/01/2024","2,140.59","2,150.27","2,158.49","2,127.86","","-0.71%"
"01/31/2024","2,155.79","2,139.64","2,164.41","2,139.64","","1.07%"
"01/30/2024","2,133.05","2,136.55","2,141.23","2,127.95","","0.37%"
"01/29/2024","2,125.28","2,103.58","2,127.84","2,089.29","","0.87%"
"01/26/2024","2,107.00","2,107.16","2,114.96","2,086.83","","-0.39%"
"01/25/2024","2,115.29","2,119.56","2,123.31","2,087.50","","-0.32%"
"01/24/2024","2,122.16","2,082.31","2,131.96","2,080.60","","1.40%"
"01/23/2024","2,092.84","2,129.88","2,129.88","2,092.76","","-1.45%"
"01/22/2024","2,123.68","2,122.83","2,136.04","2,112.21","","0.28%"
"01/19/2024","2,117.67","2,115.25","2,119.82","2,107.97","","0.46%"
"01/18/2024","2,107.98","2,096.16","2,112.02","2,094.19","","0.58%"
"01/17/2024","2,095.81","2,114.33","2,114.87","2,081.09","","-1.34%"
"01/16/2024","2,124.29","2,124.69","2,131.66","2,115.89","","-0.67%"
"01/15/2024","2,138.67","2,143.22","2,155.15","2,134.48","","-0.15%"
"01/12/2024","2,141.99","2,108.94","2,151.03","2,108.94","","2.03%"
"01/11/2024","2,099.30","2,134.30","2,148.08","2,099.29","","-1.48%"
"01/10/2024","2,130.93","2,124.42","2,140.91","2,117.95","","0.73%"
"01/09/2024","2,115.53","2,128.70","2,129.23","2,109.22","","-0.46%"
"01/08/2024","2,125.38","2,116.63","2,125.38","2,091.07","","0.47%"
"01/05/2024","2,115.41","2,109.21","2,125.11","2,100.80","","-0.17%"
"01/04/2024","2,118.96","2,105.28","2,122.78","2,099.42","","0.81%"
"01/03/2024","2,101.96","2,141.77","2,146.51","2,093.41","","-1.83%"
"01/02/2024","2,141.19","2,179.11","2,185.89","2,138.49","","-1.43%"
"12/29/2023","2,172.18","2,173.31","2,177.46","2,168.59","","0.09%"
"12/28/2023","2,170.19","2,176.94","2,177.58","2,161.57","","-0.09%"
"12/27/2023","2,172.07","2,155.56","2,172.14","2,153.76","","1.19%"
"12/22/2023","2,146.63","2,133.61","2,152.37","2,131.15","","0.49%"
"12/21/2023","2,136.07","2,133.67","2,143.84","2,124.90","","-0.23%"
"12/20/2023","2,140.91","2,135.64","2,144.68","2,126.00","","0.80%"
"12/19/2023","2,124.00","2,124.44","2,133.48","2,118.81","","0.67%"
"12/18/2023","2,109.89","2,097.45","2,117.88","2,096.05","","0.38%"
"12/15/2023","2,101.95","2,111.41","2,132.80","2,093.37","","-0.09%"
"12/14/2023","2,103.86","2,052.92","2,129.85","2,051.00","","2.70%"
"12/13/2023","2,048.60","2,054.79","2,062.42","2,042.43","","-0.30%"
"12/12/2023","2,054.74","2,064.90","2,073.37","2,052.36","","-0.25%"
"12/11/2023","2,059.85","2,053.57","2,064.70","2,047.61","","0.34%"
"12/08/2023","2,052.89","2,044.63","2,052.89","2,033.16","","0.03%"
"12/07/2023","2,052.33","2,065.04","2,065.04","2,044.52","","-1.03%"
"12/06/2023","2,073.78","2,071.08","2,084.80","2,058.93","","0.27%"
"12/05/2023","2,068.25","2,050.15","2,074.28","2,049.18","","1.35%"
"12/04/2023","2,040.67","2,033.27","2,051.24","2,033.27","","0.39%"
"12/01/2023","2,032.66","1,995.95","2,032.66","1,990.38","","2.46%"
"11/30/2023","1,983.80","2,005.94","2,005.94","1,983.80","","-0.88%"
"11/29/2023","2,001.47","1,985.31","2,008.27","1,984.61","","1.28%"
"11/28/2023","1,976.15","1,977.12","1,981.81","1,957.81","","-0.23%"
"11/27/2023","1,980.78","1,976.98","1,985.19","1,971.79","","0.41%"
"11/24/2023","1,972.78","1,973.37","1,975.74","1,961.18","","-0.11%"
"11/23/2023","1,974.92","1,960.89","1,975.45","1,960.57","","0.60%"
"11/22/2023","1,963.12","1,950.43","1,973.47","1,950.43","","0.91%"
"11/21/2023","1,945.40","1,966.06","1,971.06","1,943.27","","-1.00%"
"11/20/2023","1,965.10","1,958.93","1,965.43","1,951.54","","0.59%"
"11/17/2023","1,953.61","1,932.12","1,956.26","1,928.96","","1.57%"
"11/16/2023","1,923.36","1,929.36","1,933.54","1,917.04","","0.05%"
"11/15/2023","1,922.40","1,936.50","1,954.44","1,922.40","","-1.07%"
"11/14/2023","1,943.19","1,874.79","1,943.45","1,862.40","","3.83%"
"11/13/2023","1,871.48","1,871.32","1,874.03","1,860.42","","0.33%"
"11/10/2023","1,865.26","1,886.12","1,887.42","1,852.65","","-1.26%"
"11/09/2023","1,888.97","1,870.97","1,898.39","1,869.15","","1.64%"
"11/08/2023","1,858.43","1,867.95","1,870.03","1,845.26","","-0.66%"
"11/07/2023","1,870.82","1,814.87","1,878.72","1,814.45","","2.63%"
"11/06/2023","1,822.86","1,870.88","1,870.88","1,819.83","","-2.18%"
"11/03/2023","1,863.57","1,816.41","1,879.47","1,816.41","","2.77%"
"11/02/2023","1,813.38","1,787.10","1,837.75","1,785.89","","2.48%"
"11/01/2023","1,769.58","1,751.74","1,772.36","1,741.77","","1.46%"
"10/31/2023","1,744.07","1,722.04","1,749.17","1,722.04","","1.65%"
"10/30/2023","1,715.82","1,713.55","1,725.26","1,709.08","","0.76%"
"10/27/2023","1,702.87","1,703.89","1,719.95","1,695.76","","0.13%"
"10/26/2023","1,700.65","1,687.31","1,707.87","1,675.16","","0.63%"
"10/25/2023","1,690.01","1,704.62","1,704.64","1,668.55","","-0.93%"
"10/24/2023","1,705.81","1,710.45","1,725.16","1,704.60","","0.43%"
"10/23/2023","1,698.58","1,718.58","1,718.73","1,675.37","","-0.77%"
"10/20/2023","1,711.72","1,711.20","1,724.13","1,701.55","","-0.21%"
"10/19/2023","1,715.29","1,753.81","1,755.08","1,712.34","","-2.35%"
"10/18/2023","1,756.56","1,780.16","1,783.57","1,754.08","","-1.49%"
"10/17/2023","1,783.09","1,790.22","1,807.22","1,769.30","","-0.93%"
"10/16/2023","1,799.86","1,795.41","1,799.86","1,780.11","","0.49%"
"10/13/2023","1,791.13","1,813.85","1,815.16","1,789.74","","-1.18%"
"10/12/2023","1,812.51","1,844.05","1,850.40","1,812.48","","-0.93%"
"10/11/2023","1,829.45","1,829.67","1,840.24","1,818.40","","-0.30%"
"10/10/2023","1,835.02","1,832.00","1,847.46","1,826.42","","1.65%"
"10/09/2023","1,805.21","1,798.14","1,805.33","1,786.30","","0.24%"
"10/06/2023","1,800.97","1,783.94","1,805.43","1,769.58","","1.25%"
"10/05/2023","1,778.72","1,778.80","1,784.17","1,771.96","","0.40%"
"10/04/2023","1,771.70","1,763.49","1,789.23","1,752.03","","-0.35%"
"10/03/2023","1,777.91","1,800.07","1,808.07","1,777.58","","-1.93%"
"10/02/2023","1,812.83","1,839.67","1,842.70","1,807.76","","-1.10%"
"09/29/2023","1,833.04","1,809.09","1,849.45","1,809.09","","2.10%"
"09/28/2023","1,795.34","1,778.07","1,799.28","1,773.73","","0.86%"
"09/27/2023","1,780.00","1,796.63","1,806.34","1,779.67","","-1.43%"
"09/26/2023","1,805.77","1,845.63","1,845.63","1,803.23","","-2.76%"
"09/25/2023","1,856.98","1,868.64","1,878.58","1,845.79","","-0.74%"
"09/22/2023","1,870.90","1,856.14","1,877.16","1,853.23","","0.01%"
"09/21/2023","1,870.75","1,892.65","1,895.06","1,870.46","","-1.45%"
"09/20/2023","1,898.30","1,894.01","1,901.88","1,883.76","","0.27%"
"09/19/2023","1,893.21","1,849.21","1,897.92","1,849.21","","2.39%"
"09/18/2023","1,848.96","1,874.20","1,875.94","1,844.30","","-1.39%"
"09/15/2023","1,875.08","1,893.11","1,894.04","1,863.97","","-0.54%"
"09/14/2023","1,885.27","1,852.44","1,886.36","1,848.45","","1.91%"
"09/13/2023","1,849.88","1,832.24","1,852.85","1,828.88","","0.36%"
"09/12/2023","1,843.17","1,859.64","1,864.36","1,834.97","","-0.39%"
"09/11/2023","1,850.38","1,832.82","1,851.42","1,829.62","","1.80%"
"09/08/2023","1,817.74","1,814.12","1,824.51","1,800.12","","0.53%"
"09/07/2023","1,808.19","1,799.55","1,817.73","1,781.66","","-0.49%"
"09/06/2023","1,817.03","1,799.81","1,825.45","1,795.31","","0.42%"
"09/05/2023","1,809.49","1,801.55","1,821.53","1,800.27","","-0.14%"
"09/04/2023","1,812.01","1,820.33","1,830.78","1,805.16","","-0.30%"
"09/01/2023","1,817.53","1,821.38","1,832.36","1,814.28","","-0.46%"
"08/31/2023","1,826.00","1,796.31","1,835.39","1,791.33","","2.07%"
