"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2024","908.89","913.79","922.30","902.80","","-0.53%"
"08/05/2024","913.77","933.86","933.86","895.16","","-2.15%"
"08/02/2024","933.87","953.83","954.15","927.94","","-2.23%"
"08/01/2024","955.16","975.92","975.92","950.84","","-2.37%"
"07/31/2024","978.34","984.42","987.67","974.76","","-0.62%"
"07/30/2024","984.42","975.56","987.53","975.56","","0.91%"
"07/29/2024","975.56","980.92","987.80","970.63","","-0.55%"
"07/26/2024","980.91","976.45","983.46","973.90","","0.46%"
"07/25/2024","976.45","977.53","977.53","955.96","","-0.11%"
"07/24/2024","977.53","984.04","984.04","966.09","","-0.86%"
"07/23/2024","985.96","982.21","989.16","979.65","","0.38%"
"07/22/2024","982.21","969.46","985.37","969.46","","1.32%"
"07/19/2024","969.46","976.29","976.29","965.52","","-0.77%"
"07/18/2024","976.97","967.42","979.87","967.42","","0.99%"
"07/17/2024","967.42","964.44","971.68","959.72","","0.31%"
"07/16/2024","964.44","971.72","971.72","957.06","","-0.75%"
"07/15/2024","971.72","970.46","973.16","961.30","","0.13%"
"07/12/2024","970.46","965.03","973.12","964.94","","0.62%"
"07/11/2024","964.47","956.92","966.53","956.09","","0.79%"
"07/10/2024","956.92","946.31","957.20","942.70","","1.15%"
"07/09/2024","946.03","959.34","959.34","940.06","","-1.55%"
"07/08/2024","960.92","967.15","979.49","957.91","","-0.64%"
"07/05/2024","967.15","968.53","972.00","960.18","","-0.14%"
"07/04/2024","968.53","953.15","974.86","953.15","","1.67%"
"07/03/2024","952.64","934.66","957.32","934.66","","1.92%"
"07/02/2024","934.66","939.05","939.05","926.08","","-0.47%"
"07/01/2024","939.05","915.04","958.18","915.04","","2.62%"
"06/28/2024","915.04","920.89","926.65","911.29","","-0.63%"
"06/27/2024","920.88","926.93","927.98","915.48","","-0.65%"
"06/26/2024","926.93","933.60","937.97","921.49","","-0.71%"
"06/25/2024","933.60","942.98","943.27","929.59","","-0.92%"
"06/24/2024","942.23","926.00","943.26","925.36","","1.75%"
"06/21/2024","926.00","936.59","938.92","922.32","","-1.13%"
"06/20/2024","936.59","920.45","938.08","920.45","","1.76%"
"06/19/2024","920.39","926.15","930.53","919.03","","-0.61%"
"06/18/2024","926.05","916.04","929.15","914.87","","1.09%"
"06/17/2024","916.04","907.99","920.01","903.72","","0.92%"
"06/14/2024","907.66","939.87","939.87","895.50","","-3.42%"
"06/13/2024","939.81","968.08","968.10","932.96","","-2.93%"
"06/12/2024","968.16","953.94","971.73","953.94","","1.49%"
"06/11/2024","953.94","980.47","984.47","950.54","","-2.71%"
"06/10/2024","980.47","1,007.27","1,007.27","968.86","","-3.37%"
"06/07/2024","1,014.69","1,020.24","1,021.07","1,009.32","","-0.54%"
"06/06/2024","1,020.24","1,014.10","1,023.04","1,009.51","","0.61%"
"06/05/2024","1,014.10","1,015.62","1,020.85","1,011.81","","-0.15%"
"06/04/2024","1,015.62","1,028.79","1,028.79","1,009.91","","-1.28%"
"06/03/2024","1,028.79","1,029.11","1,036.95","1,027.90","","-0.03%"
"05/31/2024","1,029.11","1,028.25","1,034.15","1,027.19","","0.08%"
"05/30/2024","1,028.25","1,021.96","1,028.40","1,017.89","","0.61%"
"05/29/2024","1,021.97","1,044.37","1,044.37","1,018.11","","-2.14%"
"05/28/2024","1,044.37","1,043.34","1,048.59","1,040.31","","0.10%"
"05/27/2024","1,043.36","1,043.43","1,043.51","1,038.25","","-0.01%"
"05/24/2024","1,043.43","1,039.43","1,044.49","1,029.19","","0.39%"
"05/23/2024","1,039.42","1,040.73","1,044.39","1,037.42","","-0.13%"
"05/22/2024","1,040.73","1,049.60","1,049.78","1,040.73","","-0.85%"
"05/21/2024","1,049.60","1,072.34","1,072.34","1,037.30","","-2.17%"
"05/20/2024","1,072.92","1,068.44","1,075.19","1,068.44","","0.42%"
"05/17/2024","1,068.44","1,063.74","1,068.60","1,061.65","","0.44%"
"05/16/2024","1,063.74","1,063.97","1,066.94","1,062.25","","-0.03%"
"05/15/2024","1,064.10","1,061.42","1,068.31","1,061.42","","0.25%"
"05/14/2024","1,061.42","1,062.02","1,064.63","1,056.29","","-0.05%"
"05/13/2024","1,061.99","1,057.83","1,066.88","1,057.83","","0.39%"
"05/10/2024","1,057.83","1,048.59","1,060.25","1,048.59","","0.88%"
"05/09/2024","1,048.57","1,043.65","1,049.64","1,042.08","","0.47%"
"05/08/2024","1,043.65","1,033.90","1,043.98","1,033.90","","0.94%"
"05/07/2024","1,033.90","1,018.17","1,034.87","1,018.17","","1.55%"
"05/06/2024","1,018.16","1,006.35","1,019.76","1,005.65","","1.18%"
"05/03/2024","1,006.29","1,009.61","1,022.00","1,003.93","","-0.32%"
"05/02/2024","1,009.47","1,012.64","1,016.87","1,008.23","","-0.32%"
"04/30/2024","1,012.66","1,029.71","1,029.71","1,010.96","","-1.66%"
"04/29/2024","1,029.71","1,021.61","1,034.07","1,021.61","","0.79%"
"04/26/2024","1,021.61","1,021.87","1,031.43","1,020.92","","-0.03%"
"04/25/2024","1,021.87","1,025.27","1,033.80","1,015.77","","-0.33%"
"04/24/2024","1,025.27","1,033.33","1,034.45","1,021.13","","-0.78%"
"04/23/2024","1,033.33","1,018.04","1,034.84","1,018.04","","1.50%"
"04/22/2024","1,018.04","1,004.77","1,020.72","1,004.77","","1.32%"
"04/19/2024","1,004.77","1,003.02","1,006.98","990.26","","0.17%"
"04/18/2024","1,003.03","989.35","1,004.47","989.35","","1.38%"
"04/17/2024","989.35","985.57","999.55","985.55","","0.38%"
"04/16/2024","985.58","1,006.90","1,006.90","982.44","","-2.12%"
"04/15/2024","1,006.91","1,004.21","1,018.26","1,004.21","","0.27%"
"04/12/2024","1,004.15","1,003.37","1,016.59","1,000.37","","0.19%"
"04/11/2024","1,002.21","1,014.06","1,020.49","993.86","","-1.16%"
"04/10/2024","1,014.02","1,012.90","1,021.22","1,005.36","","0.11%"
"04/09/2024","1,012.90","1,020.69","1,022.48","1,011.57","","-0.76%"
"04/08/2024","1,020.63","1,014.87","1,025.22","1,014.39","","0.57%"
