"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2024","1,268.93","1,278.57","1,286.72","1,268.93","","-1.06%"
"07/08/2024","1,282.48","1,278.49","1,287.31","1,270.04","","0.40%"
"07/05/2024","1,277.31","1,271.44","1,278.01","1,265.00","","0.78%"
"07/04/2024","1,267.40","1,244.90","1,267.40","1,241.14","","1.97%"
"07/03/2024","1,242.86","1,243.43","1,248.24","1,223.34","","1.09%"
"07/02/2024","1,229.51","1,243.87","1,250.78","1,225.17","","-2.11%"
"07/01/2024","1,256.00","1,217.79","1,256.00","1,217.79","","3.50%"
"06/28/2024","1,213.48","1,209.11","1,225.06","1,207.34","","0.31%"
"06/27/2024","1,209.69","1,207.00","1,218.72","1,199.07","","0.24%"
"06/26/2024","1,206.82","1,231.80","1,231.81","1,198.25","","-1.71%"
"06/25/2024","1,227.84","1,245.60","1,258.78","1,224.16","","-1.10%"
"06/21/2024","1,241.44","1,249.14","1,253.22","1,236.66","","-0.43%"
"06/20/2024","1,246.79","1,275.75","1,275.75","1,224.56","","-1.16%"
"06/19/2024","1,261.38","1,248.89","1,266.07","1,242.04","","0.78%"
"06/18/2024","1,251.64","1,225.41","1,257.66","1,225.41","","1.92%"
"06/17/2024","1,228.06","1,248.53","1,255.40","1,214.77","","-1.03%"
"06/14/2024","1,240.86","1,284.24","1,290.06","1,234.18","","-3.47%"
"06/13/2024","1,285.41","1,303.37","1,306.22","1,283.47","","-1.24%"
"06/12/2024","1,301.57","1,292.42","1,316.63","1,292.35","","0.32%"
"06/11/2024","1,297.45","1,314.47","1,331.22","1,292.20","","-1.10%"
"06/10/2024","1,311.85","1,274.47","1,312.25","1,268.70","","1.22%"
"06/07/2024","1,296.07","1,278.63","1,297.12","1,272.12","","1.71%"
"06/06/2024","1,274.31","1,277.20","1,289.31","1,273.37","","1.61%"
"06/05/2024","1,254.08","1,244.74","1,260.55","1,227.49","","1.50%"
"06/04/2024","1,235.49","1,261.87","1,261.87","1,235.49","","-2.29%"
"06/03/2024","1,264.51","1,250.73","1,273.30","1,250.73","","1.84%"
"05/31/2024","1,241.66","1,260.26","1,260.26","1,239.08","","-1.29%"
"05/30/2024","1,257.93","1,268.82","1,276.17","1,252.01","","-0.28%"
"05/29/2024","1,261.43","1,302.57","1,307.22","1,261.43","","-3.48%"
"05/28/2024","1,306.88","1,318.62","1,322.37","1,298.58","","-1.38%"
"05/27/2024","1,325.21","1,307.46","1,325.21","1,307.46","","1.59%"
"05/24/2024","1,304.46","1,296.18","1,310.16","1,289.06","","-0.15%"
"05/23/2024","1,306.48","1,317.79","1,323.35","1,301.42","","-0.75%"
"05/22/2024","1,316.35","1,327.55","1,330.58","1,314.92","","-1.39%"
"05/21/2024","1,334.93","1,339.23","1,340.74","1,330.15","","-0.24%"
"05/20/2024","1,338.14","1,334.39","1,349.28","1,328.95","","1.12%"
"05/17/2024","1,323.37","1,312.45","1,346.45","1,310.30","","0.94%"
"05/16/2024","1,311.07","1,314.87","1,315.68","1,300.33","","0.16%"
"05/15/2024","1,308.96","1,290.45","1,311.84","1,287.24","","2.12%"
"05/14/2024","1,281.78","1,280.40","1,285.85","1,274.56","","-0.23%"
"05/13/2024","1,284.79","1,290.67","1,292.56","1,276.12","","-0.46%"
"05/10/2024","1,290.79","1,282.04","1,294.08","1,276.58","","0.90%"
"05/09/2024","1,279.27","1,279.27","1,282.72","1,268.37","","0.20%"
"05/08/2024","1,276.67","1,263.54","1,283.12","1,263.54","","2.18%"
"05/02/2024","1,249.43","1,235.38","1,260.06","1,235.38","","0.97%"
"04/30/2024","1,237.38","1,254.70","1,258.31","1,237.38","","-1.50%"
"04/29/2024","1,256.23","1,269.68","1,270.31","1,249.44","","-1.00%"
"04/26/2024","1,268.96","1,254.13","1,269.96","1,254.13","","1.53%"
"04/25/2024","1,249.87","1,258.03","1,263.84","1,247.06","","-1.16%"
"04/24/2024","1,264.53","1,259.94","1,282.54","1,259.03","","0.58%"
"04/23/2024","1,257.25","1,218.93","1,257.25","1,218.11","","3.48%"
"04/22/2024","1,214.98","1,192.00","1,214.98","1,186.49","","2.99%"
"04/19/2024","1,179.67","1,161.38","1,186.25","1,159.50","","0.50%"
"04/18/2024","1,173.79","1,166.10","1,175.05","1,163.67","","0.85%"
"04/17/2024","1,163.93","1,162.99","1,172.04","1,153.58","","0.22%"
"04/16/2024","1,161.40","1,168.45","1,171.69","1,155.87","","-2.14%"
"04/15/2024","1,186.84","1,182.39","1,198.04","1,169.54","","-1.29%"
"04/12/2024","1,202.29","1,225.14","1,231.80","1,193.10","","-2.09%"
"04/11/2024","1,228.01","1,227.02","1,232.31","1,221.40","","-0.34%"
"04/10/2024","1,232.19","1,237.78","1,240.22","1,218.96","","-0.15%"
"04/09/2024","1,234.00","1,197.63","1,235.55","1,195.89","","3.18%"
"04/08/2024","1,195.96","1,168.82","1,195.96","1,167.60","","2.68%"
"04/05/2024","1,164.69","1,164.48","1,165.54","1,145.69","","-0.25%"
"04/04/2024","1,167.64","1,164.81","1,176.99","1,156.84","","0.34%"
"04/03/2024","1,163.72","1,165.00","1,171.45","1,150.00","","-0.54%"
"04/02/2024","1,170.02","1,191.00","1,201.77","1,163.07","","-2.08%"
"03/28/2024","1,194.91","1,198.70","1,204.41","1,190.78","","-0.41%"
"03/27/2024","1,199.79","1,210.62","1,219.97","1,197.22","","-1.25%"
"03/26/2024","1,214.96","1,217.97","1,218.07","1,208.06","","-0.21%"
"03/22/2024","1,217.57","1,224.97","1,226.38","1,213.55","","-0.95%"
"03/21/2024","1,229.27","1,234.40","1,240.91","1,224.91","","0.16%"
"03/20/2024","1,227.26","1,202.99","1,227.26","1,199.35","","2.06%"
"03/19/2024","1,202.53","1,200.09","1,211.77","1,186.54","","-0.45%"
"03/15/2024","1,207.99","1,208.18","1,211.33","1,199.25","","0.26%"
"03/14/2024","1,204.90","1,200.26","1,204.90","1,191.19","","0.61%"
"03/13/2024","1,197.64","1,194.94","1,208.88","1,194.86","","0.34%"
"03/12/2024","1,193.62","1,197.34","1,204.82","1,178.79","","-0.75%"
"03/11/2024","1,202.70","1,233.87","1,236.55","1,200.32","","-2.28%"
"03/08/2024","1,230.74","1,227.67","1,240.44","1,219.72","","-0.06%"
"03/07/2024","1,231.49","1,267.09","1,269.79","1,228.80","","-2.86%"
"03/06/2024","1,267.72","1,252.96","1,268.36","1,249.45","","1.20%"
"03/05/2024","1,252.66","1,259.28","1,264.70","1,252.66","","-1.11%"
"03/04/2024","1,266.75","1,246.82","1,266.97","1,244.03","","2.26%"
"03/01/2024","1,238.76","1,245.25","1,250.24","1,237.40","","-0.71%"
"02/29/2024","1,247.63","1,224.27","1,249.29","1,220.22","","1.88%"
"02/28/2024","1,224.61","1,220.76","1,228.41","1,212.06","","-0.45%"
"02/27/2024","1,230.10","1,221.78","1,232.94","1,214.99","","0.42%"
"02/26/2024","1,224.96","1,230.02","1,231.43","1,220.91","","-0.61%"
"02/23/2024","1,232.44","1,239.54","1,239.54","1,225.83","","-0.51%"
"02/22/2024","1,238.75","1,236.55","1,241.69","1,229.13","","0.38%"
"02/21/2024","1,234.01","1,229.95","1,234.01","1,222.61","","-0.62%"
"02/20/2024","1,241.74","1,237.48","1,241.74","1,228.72","","0.10%"
"02/19/2024","1,240.55","1,228.79","1,240.55","1,219.25","","1.18%"
"02/16/2024","1,226.08","1,235.14","1,241.25","1,218.37","","-0.53%"
