"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2024","22,958.90","22,889.80","23,011.40","22,726.00","","0.61%"
"07/09/2024","22,820.40","22,942.20","22,983.50","22,762.40","","-0.88%"
"07/08/2024","23,022.90","22,867.30","23,332.50","22,817.70","","0.75%"
"07/05/2024","22,852.10","23,024.30","23,065.40","22,693.10","","-0.42%"
"07/04/2024","22,949.00","22,796.90","22,989.50","22,781.50","","1.06%"
"07/03/2024","22,708.30","22,552.40","22,850.40","22,469.10","","1.36%"
"07/02/2024","22,404.30","22,581.90","22,605.10","22,292.20","","-1.26%"
"07/01/2024","22,690.10","22,473.00","22,690.10","22,388.40","","3.47%"
"06/28/2024","21,928.70","22,100.40","22,129.70","21,796.00","","-0.03%"
"06/27/2024","21,935.60","22,158.00","22,242.40","21,903.60","","-0.96%"
"06/26/2024","22,148.30","22,356.60","22,375.10","22,033.20","","-0.34%"
"06/25/2024","22,223.30","22,386.00","22,456.90","22,166.30","","-0.77%"
"06/24/2024","22,395.50","21,974.20","22,404.80","21,971.60","","2.54%"
"06/21/2024","21,841.80","21,994.80","22,042.50","21,647.50","","-1.42%"
"06/20/2024","22,156.20","21,870.70","22,223.30","21,853.40","","1.50%"
"06/19/2024","21,829.10","21,834.20","21,988.90","21,688.20","","0.18%"
"06/18/2024","21,790.40","21,665.70","21,838.30","21,608.80","","1.79%"
"06/17/2024","21,407.80","21,335.30","21,478.90","21,098.50","","1.31%"
"06/14/2024","21,130.40","21,830.60","21,830.60","20,894.20","","-3.29%"
"06/13/2024","21,850.20","22,470.80","22,504.50","21,805.20","","-2.88%"
"06/12/2024","22,497.80","22,285.80","22,561.00","22,285.80","","1.66%"
"06/11/2024","22,131.00","22,834.80","22,834.80","22,037.40","","-2.80%"
"06/10/2024","22,768.30","22,835.40","22,835.40","22,617.10","","-0.71%"
"06/07/2024","22,930.10","23,047.30","23,053.50","22,758.20","","-0.25%"
"06/06/2024","22,988.70","22,756.80","23,030.00","22,481.90","","1.58%"
"06/05/2024","22,631.40","22,684.90","22,805.90","22,550.40","","0.33%"
"06/04/2024","22,557.90","23,054.70","23,055.80","22,470.00","","-2.38%"
"06/03/2024","23,108.10","23,148.50","23,214.80","23,053.30","","0.67%"
"05/31/2024","22,954.10","23,006.80","23,081.30","22,841.60","","0.05%"
"05/30/2024","22,942.00","22,569.90","22,942.00","22,558.40","","1.44%"
"05/29/2024","22,616.40","22,930.80","22,993.10","22,500.10","","-1.52%"
"05/28/2024","22,966.00","22,937.20","23,098.00","22,849.30","","0.36%"
"05/27/2024","22,884.30","22,789.10","22,884.30","22,706.30","","0.37%"
"05/24/2024","22,799.30","22,598.60","22,821.30","22,434.10","","0.23%"
"05/23/2024","22,746.90","22,733.00","22,882.10","22,618.40","","0.32%"
"05/22/2024","22,674.40","22,893.10","22,933.40","22,673.50","","-0.78%"
"05/21/2024","22,851.90","22,831.60","22,858.00","22,608.30","","-0.27%"
"05/20/2024","22,912.80","23,129.70","23,232.30","22,879.60","","-3.16%"
"05/17/2024","23,660.50","23,560.30","23,696.80","23,539.20","","0.61%"
"05/16/2024","23,517.30","23,497.70","23,562.10","23,439.10","","0.48%"
"05/15/2024","23,404.60","23,507.40","23,525.50","23,252.40","","0.28%"
"05/14/2024","23,339.80","22,975.50","23,374.40","22,959.60","","1.62%"
"05/13/2024","22,966.60","22,892.20","23,008.70","22,850.60","","0.38%"
"05/10/2024","22,880.70","22,880.80","22,976.30","22,771.20","","0.45%"
"05/09/2024","22,778.40","22,819.80","22,854.20","22,418.70","","-0.11%"
"05/08/2024","22,803.30","22,918.70","22,983.40","22,658.70","","-0.19%"
"05/07/2024","22,846.60","22,598.80","22,846.60","22,543.20","","2.05%"
"05/06/2024","22,387.60","22,065.80","22,387.60","22,044.80","","1.97%"
"05/03/2024","21,954.10","22,441.90","22,455.70","21,831.30","","-1.85%"
"05/02/2024","22,367.40","22,255.00","22,449.40","22,255.00","","0.99%"
"04/30/2024","22,147.20","22,285.40","22,355.60","22,147.20","","-0.45%"
"04/29/2024","22,246.60","22,385.60","22,421.30","22,150.20","","-0.17%"
"04/26/2024","22,285.50","22,132.80","22,317.00","22,049.20","","1.42%"
"04/25/2024","21,973.30","22,182.90","22,228.50","21,850.40","","-0.63%"
"04/24/2024","22,111.50","22,326.80","22,355.30","22,050.70","","-0.55%"
"04/23/2024","22,233.20","21,764.90","22,234.10","21,764.90","","2.53%"
"04/22/2024","21,684.90","21,640.60","21,743.40","21,503.10","","-0.65%"
"04/19/2024","21,825.70","21,561.20","21,828.70","21,463.50","","0.50%"
"04/18/2024","21,717.40","21,518.50","21,717.40","21,458.40","","1.46%"
"04/17/2024","21,404.30","21,202.90","21,511.60","21,165.40","","1.41%"
"04/16/2024","21,107.70","21,124.90","21,249.30","21,066.30","","-1.84%"
"04/15/2024","21,502.60","21,504.50","21,702.50","21,484.30","","0.70%"
"04/12/2024","21,354.00","21,546.30","21,668.50","21,292.10","","0.09%"
"04/11/2024","21,335.60","21,817.60","21,817.60","21,156.80","","-2.06%"
"04/10/2024","21,783.80","21,688.70","21,852.00","21,427.70","","1.05%"
"04/09/2024","21,558.00","21,938.20","21,965.60","21,533.10","","-1.64%"
"04/08/2024","21,916.80","21,734.20","21,916.80","21,682.10","","0.97%"
"04/05/2024","21,705.60","21,723.40","21,726.00","21,359.50","","-1.33%"
"04/04/2024","21,998.80","22,137.40","22,165.10","21,997.90","","-0.44%"
"04/03/2024","22,096.30","21,867.40","22,104.50","21,867.40","","1.45%"
"04/02/2024","21,781.40","21,936.90","22,062.60","21,719.40","","-0.43%"
"03/28/2024","21,874.90","21,756.40","21,912.00","21,737.00","","0.69%"
"03/27/2024","21,724.60","21,725.10","21,813.10","21,705.90","","-0.11%"
"03/26/2024","21,747.80","21,578.80","21,786.00","21,569.20","","0.84%"
"03/25/2024","21,566.30","21,346.30","21,598.20","21,333.50","","1.11%"
"03/22/2024","21,328.60","21,346.40","21,425.00","21,266.00","","-0.21%"
"03/21/2024","21,372.70","21,408.80","21,431.20","21,246.60","","0.42%"
"03/20/2024","21,282.30","21,285.20","21,328.20","21,144.30","","0.00%"
"03/19/2024","21,282.00","20,991.20","21,282.00","20,980.90","","1.59%"
"03/18/2024","20,948.00","20,903.00","21,049.20","20,882.10","","0.39%"
"03/15/2024","20,866.00","20,496.10","20,867.30","20,496.10","","1.52%"
"03/14/2024","20,554.00","20,627.50","20,648.50","20,505.20","","-0.17%"
"03/13/2024","20,589.40","20,441.30","20,686.60","20,434.00","","0.95%"
"03/12/2024","20,396.00","20,130.40","20,396.00","20,070.70","","1.73%"
"03/11/2024","20,049.50","19,846.20","20,049.90","19,752.90","","0.00%"
"03/08/2024","20,049.50","20,129.60","20,158.40","20,005.50","","-0.41%"
"03/07/2024","20,131.30","20,212.60","20,257.60","19,984.20","","-0.41%"
"03/06/2024","20,213.70","20,102.10","20,287.20","20,101.50","","0.54%"
"03/05/2024","20,106.00","19,939.10","20,151.10","19,939.10","","0.86%"
"03/04/2024","19,934.40","19,854.70","19,936.40","19,799.00","","0.48%"
"03/01/2024","19,838.70","19,737.60","19,966.10","19,720.40","","0.99%"
"02/29/2024","19,645.10","19,678.50","19,788.00","19,638.70","","-0.19%"
"02/28/2024","19,682.40","19,652.80","19,719.80","19,585.70","","0.03%"
"02/27/2024","19,676.40","19,733.80","19,775.90","19,580.20","","-0.36%"
"02/26/2024","19,746.60","19,787.80","19,859.00","19,717.00","","0.01%"
"02/23/2024","19,745.60","19,412.30","19,745.60","19,397.30","","2.02%"
"02/22/2024","19,354.30","19,354.20","19,455.00","19,295.20","","0.61%"
"02/21/2024","19,237.10","18,991.10","19,302.90","18,991.10","","1.48%"
"02/20/2024","18,956.40","18,844.80","18,964.20","18,844.80","","0.34%"
"02/19/2024","18,892.60","18,892.80","18,929.70","18,819.30","","0.05%"
"02/16/2024","18,882.60","18,851.80","18,962.70","18,808.30","","0.73%"
"02/15/2024","18,746.60","18,821.00","18,840.10","18,630.20","","-0.05%"
"02/14/2024","18,756.00","18,656.50","18,829.20","18,564.20","","0.64%"
"02/13/2024","18,637.20","18,819.10","18,822.00","18,625.90","","-0.82%"
"02/12/2024","18,791.20","18,654.90","18,791.20","18,605.30","","1.32%"
"02/09/2024","18,545.50","18,611.10","18,624.70","18,460.50","","-0.21%"
"02/08/2024","18,584.10","18,671.80","18,708.50","18,529.30","","-0.07%"
"02/07/2024","18,596.70","18,778.20","18,798.80","18,483.30","","-0.64%"
"02/06/2024","18,717.10","18,815.10","18,944.60","18,688.00","","0.21%"
"02/05/2024","18,677.90","18,248.90","18,850.30","18,240.10","","3.01%"
"02/02/2024","18,131.90","18,183.40","18,197.80","17,944.20","","0.43%"
"02/01/2024","18,054.90","18,345.10","18,422.60","18,017.80","","-1.85%"
"01/31/2024","18,394.50","18,411.50","18,634.60","18,360.10","","0.27%"
"01/30/2024","18,344.20","18,122.00","18,348.70","18,073.60","","1.71%"
"01/29/2024","18,035.40","18,170.00","18,237.10","17,980.10","","-0.70%"
"01/26/2024","18,162.00","18,108.70","18,212.50","18,062.70","","0.32%"
"01/25/2024","18,104.70","18,151.20","18,221.00","18,069.70","","-0.92%"
"01/24/2024","18,272.00","18,039.50","18,272.00","18,021.20","","1.52%"
"01/23/2024","17,998.50","18,075.40","18,087.20","17,932.10","","-0.14%"
"01/22/2024","18,022.90","18,096.40","18,165.00","17,982.30","","0.40%"
"01/19/2024","17,951.30","18,092.90","18,121.60","17,929.90","","-0.03%"
"01/18/2024","17,957.00","17,704.50","18,061.50","17,689.50","","1.38%"
"01/17/2024","17,713.20","17,514.00","17,717.70","17,479.10","","0.48%"
"01/16/2024","17,628.20","17,444.90","17,633.60","17,318.10","","0.50%"
"01/15/2024","17,540.50","17,625.70","17,636.40","17,432.90","","-0.08%"
"01/12/2024","17,553.80","17,572.40","17,674.10","17,525.20","","0.34%"
"01/11/2024","17,494.50","17,737.60","17,783.20","17,468.90","","-0.87%"
"01/10/2024","17,647.70","17,638.00","17,684.40","17,555.80","","0.37%"
"01/09/2024","17,583.00","17,851.50","17,886.40","17,500.50","","-1.38%"
"01/08/2024","17,829.00","17,734.00","17,849.80","17,647.10","","0.55%"
"01/05/2024","17,731.10","17,515.90","17,801.90","17,486.50","","0.59%"
"01/04/2024","17,626.60","17,292.50","17,626.60","17,261.10","","2.33%"
"01/03/2024","17,225.70","17,357.30","17,424.50","17,169.50","","-0.52%"
"01/02/2024","17,315.90","17,122.10","17,425.50","17,122.10","","1.57%"
"12/29/2023","17,048.10","17,022.90","17,090.90","17,017.20","","0.26%"
"12/28/2023","17,003.90","17,088.70","17,114.60","16,990.40","","-0.43%"
"12/27/2023","17,077.50","17,031.10","17,090.00","16,943.70","","0.37%"
"12/22/2023","17,014.70","16,938.10","17,014.70","16,879.70","","0.49%"
"12/21/2023","16,932.30","16,957.30","17,000.00","16,858.40","","-0.29%"
"12/20/2023","16,981.50","17,047.50","17,064.20","16,886.60","","-0.16%"
"12/19/2023","17,008.90","16,882.60","17,042.70","16,852.20","","0.76%"
"12/18/2023","16,881.30","16,798.70","16,921.90","16,756.10","","0.24%"
"12/15/2023","16,841.10","16,908.00","16,908.00","16,755.30","","0.01%"
"12/14/2023","16,840.00","17,247.70","17,247.70","16,700.20","","-2.12%"
"12/13/2023","17,205.60","17,302.00","17,335.10","17,205.60","","-0.37%"
"12/12/2023","17,270.20","17,393.90","17,433.40","17,253.80","","-0.36%"
"12/11/2023","17,332.80","17,307.70","17,357.60","17,195.80","","0.34%"
"12/08/2023","17,274.30","17,182.90","17,274.30","17,006.80","","0.74%"
"12/07/2023","17,146.70","17,293.40","17,327.40","17,028.60","","-1.00%"
"12/06/2023","17,320.70","17,227.30","17,391.50","17,181.90","","0.99%"
"12/05/2023","17,150.90","17,157.80","17,204.70","17,042.00","","-0.08%"
"12/04/2023","17,163.80","17,144.20","17,197.20","17,096.00","","0.22%"
"12/01/2023","17,126.90","17,100.30","17,141.70","17,032.60","","0.64%"
"11/30/2023","17,018.10","17,118.40","17,127.60","16,959.90","","-0.32%"
"11/29/2023","17,073.40","16,902.90","17,083.50","16,880.40","","1.11%"
"11/28/2023","16,885.60","16,869.70","16,913.00","16,771.80","","0.21%"
"11/27/2023","16,850.50","16,948.90","16,985.40","16,843.80","","-0.66%"
"11/24/2023","16,962.30","16,860.60","16,977.40","16,819.10","","0.74%"
"11/23/2023","16,837.00","16,754.90","16,845.70","16,669.00","","0.60%"
"11/22/2023","16,737.20","16,816.50","16,931.90","16,722.30","","-0.13%"
"11/21/2023","16,758.50","16,982.70","16,982.70","16,748.80","","-1.61%"
"11/20/2023","17,033.20","17,129.80","17,217.00","17,026.20","","-1.44%"
"11/17/2023","17,282.40","17,190.40","17,282.40","17,159.20","","0.71%"
"11/16/2023","17,160.70","17,251.20","17,308.10","17,160.70","","-0.37%"
"11/15/2023","17,224.90","17,177.30","17,282.10","17,160.20","","0.30%"
"11/14/2023","17,173.70","17,072.00","17,236.50","16,976.50","","0.91%"
"11/13/2023","17,018.00","16,714.10","17,018.00","16,714.10","","2.36%"
"11/10/2023","16,626.20","16,633.30","16,768.50","16,592.50","","-0.19%"
"11/09/2023","16,658.30","16,490.40","16,658.30","16,462.20","","1.06%"
"11/08/2023","16,483.20","16,347.10","16,557.50","16,209.90","","0.51%"
"11/07/2023","16,399.20","16,355.00","16,498.90","16,355.00","","-0.08%"
"11/06/2023","16,412.60","16,531.30","16,543.20","16,412.30","","-0.18%"
"11/03/2023","16,442.80","16,414.00","16,483.40","16,271.00","","0.69%"
"11/02/2023","16,330.00","16,374.40","16,423.20","16,320.70","","0.27%"
"11/01/2023","16,286.00","16,188.60","16,357.00","16,131.40","","1.11%"
"10/31/2023","16,106.70","15,932.90","16,200.60","15,920.60","","1.39%"
"10/30/2023","15,886.20","15,738.80","15,901.20","15,636.70","","1.22%"
"10/27/2023","15,694.70","15,838.30","15,880.90","15,665.20","","0.25%"
"10/26/2023","15,655.50","15,466.50","15,704.60","15,285.60","","0.62%"
"10/25/2023","15,558.30","15,641.80","15,661.00","15,416.10","","-0.75%"
"10/24/2023","15,675.30","15,716.30","15,768.10","15,378.10","","0.10%"
