"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2024","825.20","817.20","825.90","813.70","7.65M","1.05%"
"07/09/2024","816.60","822.40","823.30","811.80","47.15M","-0.96%"
"07/08/2024","824.50","822.80","835.50","821.30","52.88M","-0.02%"
"07/05/2024","824.70","833.00","833.90","816.30","43.23M","-0.85%"
"07/04/2024","831.80","823.20","832.70","822.80","45.87M","1.46%"
"07/03/2024","819.80","810.80","821.30","808.50","46.54M","1.70%"
"07/02/2024","806.10","816.30","817.60","797.20","56.59M","-1.80%"
"07/01/2024","820.90","818.90","827.70","811.00","63.68M","2.17%"
"06/28/2024","803.50","805.20","807.40","796.10","61.84M","0.35%"
"06/27/2024","800.70","800.60","803.60","795.20","49.46M","0.13%"
"06/26/2024","799.70","808.40","811.70","794.30","44.35M","-0.90%"
"06/25/2024","807.00","817.00","818.40","801.90","47.50M","-0.71%"
"06/24/2024","812.80","799.80","814.00","799.20","55.62M","1.80%"
"06/21/2024","798.40","816.60","817.10","789.50","154.13M","-2.23%"
"06/20/2024","816.60","813.90","816.60","809.40","47.13M","0.46%"
"06/19/2024","812.90","810.70","818.70","804.50","53.16M","0.41%"
"06/18/2024","809.60","806.70","810.70","800.90","56.17M","1.49%"
"06/17/2024","797.70","798.30","804.10","787.60","67.91M","0.49%"
"06/14/2024","793.80","802.00","804.70","778.70","136.68M","-1.11%"
"06/13/2024","802.70","825.40","828.90","799.30","96.22M","-3.11%"
"06/12/2024","828.50","839.00","841.40","827.60","93.43M","-0.99%"
"06/11/2024","836.80","859.00","859.00","830.90","73.36M","-2.23%"
"06/10/2024","855.90","860.60","860.60","849.10","64.13M","-0.65%"
"06/07/2024","861.50","854.70","865.80","852.20","67.84M","0.51%"
"06/06/2024","857.10","840.80","857.50","835.10","69.09M","2.24%"
"06/05/2024","838.30","842.20","843.50","832.90","72.94M","-0.32%"
"06/04/2024","841.00","867.90","868.60","833.40","132.35M","-3.19%"
"06/03/2024","868.70","877.20","881.30","867.60","72.96M","-0.38%"
"05/31/2024","872.00","869.90","872.60","865.90","537.67M","0.35%"
"05/30/2024","869.00","849.20","870.00","848.80","77.16M","2.15%"
"05/29/2024","850.70","861.20","862.90","847.60","62.63M","-1.39%"
"05/28/2024","862.70","861.60","866.80","856.40","51.57M","0.16%"
"05/27/2024","861.30","863.10","865.70","858.70","40.97M","0.08%"
"05/24/2024","860.60","857.50","863.30","852.10","62.22M","-0.45%"
"05/23/2024","864.50","865.70","871.70","861.40","60.15M","0.01%"
"05/22/2024","864.40","867.40","869.80","863.70","75.17M","-0.12%"
"05/21/2024","865.40","860.20","868.00","857.90","65.15M","0.16%"
"05/20/2024","864.00","860.90","865.80","859.90","52.11M","0.23%"
"05/17/2024","862.00","849.90","862.00","848.70","90.22M","1.06%"
"05/16/2024","853.00","863.50","866.40","852.30","71.04M","-1.16%"
"05/15/2024","863.00","855.00","865.40","853.60","91.67M","1.30%"
"05/14/2024","851.90","845.00","854.20","839.70","73.60M","0.76%"
"05/13/2024","845.50","843.40","845.70","839.80","54.08M","0.18%"
"05/10/2024","844.00","840.20","848.50","839.40","76.97M","0.36%"
"05/09/2024","841.00","850.10","852.00","838.60","153.61M","-2.25%"
"05/08/2024","860.40","862.20","864.20","854.70","126.75M","0.35%"
"05/07/2024","857.40","838.10","857.80","837.20","136.11M","2.87%"
"05/06/2024","833.50","829.70","834.50","824.90","94.91M","0.69%"
"05/03/2024","827.80","839.60","841.60","824.20","146.27M","-0.72%"
"05/02/2024","833.80","842.30","847.60","833.30","193.34M","-1.07%"
"04/30/2024","842.80","869.40","875.40","841.10","255.15M","-4.09%"
"04/29/2024","878.70","892.30","900.70","869.20","151.88M","-0.88%"
"04/26/2024","886.50","867.50","887.40","865.60","133.63M","2.91%"
"04/25/2024","861.40","863.80","874.70","856.20","247.69M","0.28%"
"04/24/2024","859.00","861.90","864.10","853.60","85.66M","-0.13%"
"04/23/2024","860.10","848.60","861.30","847.40","96.10M","1.81%"
"04/22/2024","844.80","830.80","844.80","828.10","82.37M","2.34%"
"04/19/2024","825.50","820.60","828.00","816.90","100.35M","-1.14%"
"04/18/2024","835.00","819.10","835.00","817.10","101.89M","2.69%"
"04/17/2024","813.10","799.40","819.40","799.20","70.32M","1.84%"
"04/16/2024","798.40","803.80","808.40","796.40","97.91M","-2.19%"
"04/15/2024","816.30","805.40","822.50","804.20","83.80M","0.80%"
"04/12/2024","809.80","813.60","817.80","804.30","91.63M","-0.32%"
"04/11/2024","812.40","832.70","836.10","805.00","115.14M","-2.82%"
"04/10/2024","836.00","835.60","839.40","824.40","83.05M","0.23%"
"04/09/2024","834.10","848.20","848.70","833.70","84.52M","-1.57%"
"04/08/2024","847.40","839.40","848.60","838.00","78.79M","-0.26%"
"04/05/2024","849.60","852.80","855.40","841.60","113.59M","-1.55%"
"04/04/2024","863.00","849.00","864.80","848.70","101.58M","1.84%"
"04/03/2024","847.40","841.00","850.80","838.90","89.92M","1.10%"
"04/02/2024","838.20","837.20","842.90","833.80","82.30M","0.06%"
"03/29/2024","837.70","832.60","843.50","831.80","100.09M","0.00%"
"03/28/2024","837.70","832.60","843.50","831.80","100.09M","-0.58%"
"03/27/2024","842.60","836.90","846.80","836.40","98.27M","0.72%"
"03/26/2024","836.60","833.30","838.20","830.80","79.91M","0.56%"
"03/25/2024","831.90","826.10","836.20","825.40","78.43M","0.43%"
"03/22/2024","828.30","818.20","833.70","817.40","101.11M","1.20%"
"03/21/2024","818.50","810.30","821.30","808.80","106.71M","1.68%"
"03/20/2024","805.00","802.60","805.50","796.10","91.29M","0.36%"
"03/19/2024","802.10","792.20","802.80","792.00","93.10M","1.44%"
"03/18/2024","790.70","786.80","795.30","784.80","87.64M","0.42%"
"03/15/2024","787.40","770.40","790.30","770.20","296.45M","2.10%"
"03/14/2024","771.20","777.90","779.80","769.20","93.65M","-0.95%"
"03/13/2024","778.60","771.50","782.80","770.80","100.02M","0.75%"
"03/12/2024","772.80","760.10","773.40","759.30","113.45M","1.86%"
"03/11/2024","758.70","752.30","761.00","750.00","91.61M","0.30%"
"03/08/2024","756.40","755.90","765.30","755.40","109.22M","0.29%"
"03/07/2024","754.20","742.50","755.80","742.40","133.66M","1.44%"
"03/06/2024","743.50","732.70","749.60","732.60","99.57M","1.38%"
"03/05/2024","733.40","727.50","733.60","726.00","67.53M","0.60%"
"03/04/2024","729.00","726.20","731.60","725.30","64.69M","0.32%"
"03/01/2024","726.70","715.50","728.60","714.80","97.92M","1.52%"
"02/29/2024","715.80","720.90","726.70","713.60","169.47M","-0.79%"
"02/28/2024","721.50","719.60","725.60","717.80","69.90M","0.18%"
"02/27/2024","720.20","719.60","724.70","716.50","64.34M","-0.17%"
"02/26/2024","721.40","718.50","724.50","718.40","60.19M","0.22%"
"02/23/2024","719.80","716.40","720.10","711.90","58.34M","0.40%"
"02/22/2024","716.90","716.90","722.20","715.20","87.50M","0.49%"
"02/21/2024","713.40","708.40","716.90","706.70","62.54M","0.89%"
"02/20/2024","707.10","698.50","707.90","696.00","69.87M","1.22%"
"02/19/2024","698.60","693.00","701.30","691.90","54.63M","1.09%"
"02/16/2024","691.10","696.30","699.10","688.20","71.86M","-0.12%"
"02/15/2024","691.90","698.90","699.20","684.80","63.89M","-0.70%"
"02/14/2024","696.80","701.50","708.20","696.70","66.74M","-0.46%"
"02/13/2024","700.00","700.30","703.80","696.50","83.96M","0.23%"
"02/12/2024","698.40","695.90","699.40","692.40","60.56M","0.91%"
"02/09/2024","692.10","689.30","695.80","687.90","90.41M","0.28%"
"02/08/2024","690.20","692.10","695.00","690.10","67.06M","0.41%"
"02/07/2024","687.40","694.50","696.50","683.20","103.78M","-1.48%"
"02/06/2024","697.70","691.10","703.30","690.60","97.07M","1.75%"
"02/05/2024","685.70","701.50","701.60","683.50","142.31M","-2.38%"
"02/02/2024","702.40","691.50","703.60","684.70","117.36M","2.62%"
"02/01/2024","684.50","685.00","700.20","679.70","158.47M","-0.31%"
"01/31/2024","686.60","689.20","693.10","681.00","119.41M","1.03%"
"01/30/2024","679.60","657.80","680.60","654.30","92.85M","3.68%"
"01/29/2024","655.50","660.90","663.80","652.40","65.57M","-0.76%"
"01/26/2024","660.50","658.30","661.50","656.50","60.38M","0.38%"
"01/25/2024","658.00","666.40","666.40","655.20","119.61M","-2.43%"
"01/24/2024","674.40","666.80","674.40","665.50","74.24M","1.32%"
"01/23/2024","665.60","672.70","673.70","664.20","69.27M","-0.83%"
"01/22/2024","671.20","668.10","673.80","666.60","65.94M","1.50%"
"01/19/2024","661.30","667.70","668.70","659.70","90.04M","-0.48%"
"01/18/2024","664.50","661.60","667.90","655.50","81.92M","0.65%"
"01/17/2024","660.20","662.40","662.60","656.80","77.74M","-1.23%"
"01/16/2024","668.40","672.20","672.90","664.10","88.27M","-1.20%"
"01/15/2024","676.50","683.00","684.70","674.20","47.67M","-0.46%"
"01/12/2024","679.60","679.60","686.00","677.50","64.49M","0.31%"
"01/11/2024","677.50","689.90","691.70","677.50","75.96M","-1.09%"
"01/10/2024","685.00","689.60","691.00","683.80","80.84M","-1.01%"
"01/09/2024","692.00","700.50","700.70","685.60","87.44M","-1.80%"
"01/08/2024","704.70","697.90","706.50","694.30","67.53M","0.82%"
"01/05/2024","699.00","690.30","702.90","686.60","99.96M","0.88%"
"01/04/2024","692.90","680.80","693.30","680.40","69.31M","1.99%"
"01/03/2024","679.40","686.90","690.90","677.80","84.64M","-0.73%"
"01/02/2024","684.40","672.40","688.30","672.20","87.90M","2.33%"
"12/29/2023","668.80","667.30","671.60","666.80","56.90M","0.18%"
"12/28/2023","667.60","671.70","672.60","665.60","54.12M","-0.60%"
"12/27/2023","671.60","669.60","673.40","666.00","88.53M","-0.09%"
"12/26/2023","672.20","671.70","675.30","669.20","57.13M","0.00%"
"12/25/2023","672.20","671.70","675.30","669.20","57.13M","0.00%"
"12/22/2023","672.20","671.70","675.30","669.20","57.13M","0.12%"
"12/21/2023","671.40","667.80","672.80","666.60","51.34M","0.45%"
"12/20/2023","668.40","673.10","673.70","663.50","84.94M","-0.45%"
"12/19/2023","671.40","669.40","672.70","665.90","72.15M","0.03%"
"12/18/2023","671.20","671.20","677.40","668.40","87.43M","-0.15%"
"12/15/2023","672.20","686.50","687.50","668.90","213.94M","-1.71%"
"12/14/2023","683.90","692.90","693.60","676.00","181.39M","-0.47%"
"12/13/2023","687.10","687.90","691.90","682.40","81.99M","-0.35%"
"12/12/2023","689.50","699.00","699.60","687.70","86.58M","-1.26%"
"12/11/2023","698.30","699.30","701.10","694.80","87.02M","-0.07%"
"12/08/2023","698.80","694.40","700.00","688.10","95.59M","0.88%"
"12/07/2023","692.70","708.90","711.80","685.20","158.52M","-2.59%"
"12/06/2023","711.10","715.00","716.90","709.90","76.66M","-0.10%"
"12/05/2023","711.80","708.00","715.50","707.40","86.00M","0.49%"
"12/04/2023","708.30","704.50","709.30","700.70","59.16M","0.73%"
"12/01/2023","703.20","704.00","706.20","702.00","62.32M","0.53%"
"11/30/2023","699.50","709.20","711.10","699.10","126.53M","-1.06%"
"11/29/2023","707.00","702.30","708.80","701.50","83.07M","0.64%"
"11/28/2023","702.50","690.10","702.50","690.00","74.59M","1.68%"
"11/27/2023","690.90","693.60","696.10","690.40","62.13M","-0.48%"
"11/24/2023","694.20","695.70","699.10","694.10","54.29M","-0.10%"
"11/23/2023","694.90","689.70","696.50","688.50","61.87M","0.54%"
"11/22/2023","691.20","687.60","692.40","687.10","74.60M","0.64%"
"11/21/2023","686.80","683.50","687.50","681.70","79.32M","0.06%"
"11/20/2023","686.40","683.40","689.90","683.10","97.10M","0.50%"
"11/17/2023","683.00","678.20","684.30","677.50","154.21M","0.98%"
