"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2024","4,003.80","4,017.25","4,017.25","3,982.69","0.00K","0.08%"
"07/09/2024","4,000.77","4,000.40","4,042.27","3,998.72","0.00K","-0.11%"
"07/08/2024","4,005.37","4,031.79","4,057.50","4,001.08","0.00K","-1.14%"
"07/05/2024","4,051.74","4,063.27","4,082.53","4,038.67","0.00K","0.06%"
"07/04/2024","4,049.46","4,040.94","4,071.38","4,036.33","0.00K","0.27%"
"07/03/2024","4,038.53","4,033.99","4,050.51","3,998.69","0.00K","0.44%"
"07/02/2024","4,020.96","4,012.22","4,021.50","3,982.16","0.00K","0.18%"
"07/01/2024","4,013.74","4,048.95","4,050.90","4,003.07","0.00K","-0.17%"
"06/28/2024","4,020.69","4,007.06","4,033.46","3,995.92","0.00K","0.52%"
"06/27/2024","3,999.70","4,018.29","4,028.99","3,992.21","0.00K","-0.82%"
"06/26/2024","4,032.61","4,061.47","4,078.53","3,999.67","0.00K","-0.09%"
"06/25/2024","4,036.05","4,082.36","4,082.36","4,030.78","0.00K","-1.30%"
"06/24/2024","4,089.13","4,030.91","4,102.05","4,010.37","0.00K","0.66%"
"06/21/2024","4,062.37","4,066.01","4,074.74","4,055.68","0.00K","-0.39%"
"06/20/2024","4,078.39","4,013.51","4,084.52","4,013.51","0.00K","1.63%"
"06/19/2024","4,012.84","4,037.09","4,037.09","3,997.44","0.00K","-0.22%"
"06/18/2024","4,021.87","4,052.17","4,052.17","3,994.51","0.00K","0.56%"
"06/17/2024","3,999.51","4,018.80","4,037.14","3,971.20","0.00K","0.01%"
"06/15/2024","3,999.10","4,075.11","3,999.10","3,999.10","0.00K","0.00%"
"06/14/2024","3,999.10","4,075.11","4,075.11","3,981.85","0.00K","-1.39%"
"06/13/2024","4,055.46","4,152.53","4,171.80","4,054.18","0.00K","-3.14%"
"06/12/2024","4,186.84","4,035.73","4,204.86","4,035.51","0.00K","4.17%"
"06/11/2024","4,019.20","4,053.07","4,074.33","4,009.43","0.00K","-0.37%"
"06/10/2024","4,034.01","4,012.28","4,034.01","3,995.38","0.00K","0.03%"
"06/07/2024","4,032.68","4,084.83","4,085.87","4,004.50","0.00K","-1.10%"
"06/06/2024","4,077.52","4,100.52","4,102.02","4,075.81","0.00K","-0.07%"
