"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2024","712.04","713.21","714.44","708.64","","-0.19%"
"07/08/2024","713.39","713.48","717.97","710.48","","-0.08%"
"07/05/2024","713.96","717.21","720.15","711.06","","-0.40%"
"07/04/2024","716.84","714.54","719.36","714.54","","0.33%"
"07/03/2024","714.48","708.43","716.25","707.94","","0.87%"
"07/02/2024","708.33","709.61","710.92","703.84","","-0.18%"
"07/01/2024","709.59","701.12","712.33","701.12","","1.23%"
"06/28/2024","700.97","700.83","705.30","698.24","","0.05%"
"06/27/2024","700.65","701.80","703.30","700.11","","-0.31%"
"06/26/2024","702.85","704.93","708.52","698.01","","-0.29%"
"06/25/2024","704.89","704.98","706.93","702.98","","-0.02%"
"06/24/2024","705.01","696.49","706.49","696.49","","1.22%"
"06/21/2024","696.51","704.09","704.09","694.33","","-0.78%"
"06/20/2024","701.97","696.50","702.55","696.50","","0.80%"
"06/19/2024","696.42","699.41","703.13","696.23","","-0.41%"
"06/18/2024","699.26","695.54","704.31","695.54","","0.55%"
"06/17/2024","695.43","689.11","698.51","687.31","","0.94%"
"06/14/2024","688.94","697.84","697.84","681.99","","-1.25%"
"06/13/2024","697.67","712.63","712.63","695.54","","-2.05%"
"06/12/2024","712.28","706.12","715.07","706.04","","0.87%"
"06/11/2024","706.12","713.27","714.80","701.64","","-1.02%"
"06/10/2024","713.38","715.17","715.17","709.67","","-0.25%"
"06/07/2024","715.20","717.03","720.79","715.20","","-0.27%"
"06/06/2024","717.13","712.66","718.31","712.43","","0.62%"
"06/05/2024","712.74","710.37","716.20","710.37","","0.35%"
"06/04/2024","710.23","719.00","720.15","710.23","","-1.22%"
"06/03/2024","718.97","717.23","724.91","717.23","","0.24%"
"05/31/2024","717.25","720.43","722.07","716.01","","-0.43%"
"05/30/2024","720.35","716.97","721.87","714.05","","0.48%"
"05/29/2024","716.89","724.28","724.28","714.26","","-1.03%"
"05/28/2024","724.34","729.86","729.86","723.88","","-0.77%"
"05/27/2024","729.94","730.92","730.92","727.57","","-0.14%"
"05/24/2024","730.94","732.98","732.98","727.03","","-0.31%"
"05/23/2024","733.22","732.11","735.47","731.92","","0.15%"
"05/22/2024","732.09","734.24","734.71","731.55","","-0.29%"
"05/21/2024","734.21","735.87","735.92","731.19","","-0.41%"
"05/20/2024","737.22","734.43","738.85","734.43","","0.38%"
"05/17/2024","734.40","730.20","735.27","730.20","","0.64%"
"05/16/2024","729.70","726.25","731.10","725.20","","0.46%"
"05/15/2024","726.37","727.99","731.50","724.82","","-0.23%"
"05/14/2024","728.02","724.71","729.39","721.72","","0.47%"
"05/13/2024","724.64","722.24","725.62","722.24","","0.34%"
"05/10/2024","722.20","719.95","724.04","719.95","","0.33%"
"05/09/2024","719.82","719.97","722.15","719.52","","0.04%"
"05/08/2024","719.56","719.71","720.77","716.43","","-0.03%"
"05/07/2024","719.77","715.65","721.12","715.65","","0.60%"
"05/06/2024","715.46","712.61","717.16","711.44","","0.51%"
"05/03/2024","711.85","705.57","711.99","705.57","","0.89%"
"05/02/2024","705.60","693.18","710.80","693.18","","1.79%"
"04/30/2024","693.20","693.82","697.23","692.33","","-0.08%"
"04/29/2024","693.77","689.05","697.36","689.05","","0.68%"
"04/26/2024","689.08","684.30","691.63","684.30","","0.75%"
"04/25/2024","683.95","686.48","688.61","680.77","","-0.39%"
"04/24/2024","686.63","706.38","706.53","685.95","","-2.75%"
"04/23/2024","706.06","698.22","707.16","698.22","","1.17%"
"04/22/2024","697.90","691.77","698.64","690.50","","0.96%"
"04/19/2024","691.23","692.25","692.93","682.26","","-0.19%"
"04/18/2024","692.57","686.35","693.11","686.35","","0.87%"
"04/17/2024","686.58","682.90","694.56","682.90","","0.58%"
"04/16/2024","682.65","695.66","695.66","680.88","","-1.92%"
"04/15/2024","696.01","692.96","702.00","692.96","","0.43%"
"04/12/2024","693.01","700.13","703.74","691.66","","-1.00%"
"04/11/2024","700.02","709.67","711.31","696.11","","-1.33%"
"04/10/2024","709.49","705.73","715.11","704.26","","0.54%"
"04/09/2024","705.69","710.47","710.47","705.16","","-0.67%"
"04/08/2024","710.47","704.34","712.31","703.35","","0.87%"
"04/05/2024","704.34","707.88","707.88","697.06","","-0.55%"
"04/04/2024","708.25","703.98","710.40","703.98","","0.60%"
"04/03/2024","704.06","700.52","704.76","698.95","","0.53%"
"04/02/2024","700.36","702.39","706.70","697.49","","-0.24%"
"03/28/2024","702.03","694.91","702.51","694.91","","1.07%"
"03/27/2024","694.57","694.94","697.80","693.56","","-0.04%"
"03/26/2024","694.88","689.04","695.17","689.04","","0.85%"
"03/25/2024","689.04","686.70","690.27","685.78","","0.34%"
"03/22/2024","686.69","683.70","688.15","683.52","","0.47%"
"03/21/2024","683.50","676.79","683.51","676.79","","1.02%"
"03/20/2024","676.62","677.83","678.39","674.76","","-0.21%"
"03/19/2024","678.06","671.90","678.16","671.55","","0.94%"
"03/18/2024","671.76","667.72","672.20","667.52","","0.62%"
"03/15/2024","667.59","666.06","670.61","666.06","","0.24%"
"03/14/2024","666.01","667.88","669.80","664.39","","-0.20%"
"03/13/2024","667.32","668.14","671.09","667.29","","-0.14%"
"03/12/2024","668.27","658.09","668.41","658.09","","1.55%"
"03/11/2024","658.08","655.92","658.59","653.94","","0.34%"
"03/08/2024","655.88","652.98","658.44","652.98","","0.44%"
"03/07/2024","652.99","644.20","653.32","642.70","","1.37%"
"03/06/2024","644.16","641.86","646.66","641.86","","0.36%"
"03/05/2024","641.83","640.47","642.48","637.08","","0.22%"
"03/04/2024","640.40","638.82","641.48","637.57","","0.31%"
"03/01/2024","638.44","640.54","641.82","637.05","","-0.30%"
"02/29/2024","640.38","638.32","642.76","636.21","","0.33%"
"02/28/2024","638.29","635.46","638.65","635.15","","0.46%"
"02/27/2024","635.34","632.61","635.85","630.01","","0.42%"
"02/26/2024","632.66","635.23","635.61","631.69","","-0.41%"
"02/23/2024","635.28","632.75","635.39","630.14","","0.39%"
"02/22/2024","632.84","628.02","636.08","628.02","","0.78%"
"02/21/2024","627.93","628.42","629.37","626.82","","-0.06%"
"02/20/2024","628.32","625.77","628.37","622.48","","0.39%"
"02/19/2024","625.89","625.56","626.13","622.84","","0.00%"
"02/16/2024","625.89","623.72","628.09","623.72","","0.37%"
"02/15/2024","623.61","618.80","625.44","618.80","","0.78%"
"02/14/2024","618.76","615.34","620.11","615.34","","0.56%"
"02/13/2024","615.34","618.94","621.21","613.84","","-0.58%"
"02/12/2024","618.96","610.85","619.09","610.85","","1.33%"
"02/09/2024","610.82","607.74","611.40","607.57","","0.49%"
"02/08/2024","607.85","607.22","611.94","606.94","","0.12%"
"02/07/2024","607.15","611.65","612.32","606.91","","-0.78%"
"02/06/2024","611.95","611.45","614.00","611.00","","0.10%"
"02/05/2024","611.36","614.77","616.49","609.58","","-0.53%"
"02/02/2024","614.61","613.44","619.11","613.44","","0.16%"
"02/01/2024","613.63","628.48","628.48","607.97","","-2.35%"
"01/31/2024","628.40","624.86","632.63","624.86","","0.59%"
"01/30/2024","624.73","622.42","624.80","622.09","","0.36%"
