"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2024","10,707.5","10,665.0","10,766.2","10,640.2","","0.40%"
"07/08/2024","10,665.0","10,678.2","10,744.7","10,651.6","","-0.12%"
"07/05/2024","10,678.2","10,704.2","10,704.2","10,628.8","","-0.24%"
"07/03/2024","10,704.2","10,690.9","10,741.4","10,690.9","","0.12%"
"07/02/2024","10,690.9","10,580.9","10,692.7","10,575.0","","1.04%"
"07/01/2024","10,580.9","10,577.8","10,669.0","10,551.4","","0.03%"
"06/28/2024","10,577.8","10,529.9","10,615.0","10,529.9","","0.45%"
"06/27/2024","10,529.9","10,522.1","10,534.0","10,478.0","","0.07%"
"06/26/2024","10,522.1","10,566.8","10,566.8","10,473.5","","-0.42%"
"06/25/2024","10,566.8","10,633.8","10,638.5","10,541.0","","-0.63%"
"06/24/2024","10,633.8","10,514.4","10,687.0","10,514.4","","1.14%"
"06/21/2024","10,514.4","10,556.6","10,556.6","10,457.3","","-0.40%"
"06/20/2024","10,556.6","10,511.8","10,578.4","10,496.3","","0.43%"
"06/18/2024","10,511.8","10,455.6","10,523.2","10,454.0","","0.54%"
"06/17/2024","10,455.6","10,390.4","10,461.2","10,350.4","","0.63%"
"06/14/2024","10,390.4","10,426.9","10,426.9","10,312.2","","-0.35%"
"06/13/2024","10,426.9","10,477.1","10,477.1","10,372.6","","-0.48%"
"06/12/2024","10,477.1","10,426.2","10,585.8","10,426.2","","0.49%"
"06/11/2024","10,426.2","10,542.2","10,542.2","10,395.7","","-1.10%"
"06/10/2024","10,542.2","10,555.5","10,558.4","10,474.6","","-0.13%"
"06/07/2024","10,555.5","10,573.8","10,609.6","10,518.0","","-0.17%"
"06/06/2024","10,573.8","10,569.0","10,612.0","10,539.9","","0.05%"
"06/05/2024","10,569.0","10,540.7","10,573.4","10,501.2","","0.27%"
"06/04/2024","10,540.7","10,625.5","10,625.5","10,496.8","","-0.80%"
"06/03/2024","10,625.5","10,647.4","10,673.5","10,305.3","","-0.21%"
"05/31/2024","10,647.4","10,506.5","10,649.5","10,506.5","","1.34%"
"05/30/2024","10,506.5","10,399.0","10,516.0","10,399.0","","1.03%"
"05/29/2024","10,399.0","10,520.2","10,520.2","10,388.5","","-1.15%"
"05/28/2024","10,520.2","10,602.8","10,604.8","10,494.7","","-0.78%"
"05/24/2024","10,602.8","10,525.0","10,614.3","10,525.0","","0.74%"
"05/23/2024","10,525.0","10,678.4","10,690.0","10,510.9","","-1.44%"
"05/22/2024","10,678.4","10,750.0","10,756.4","10,660.5","","-0.67%"
"05/21/2024","10,750.0","10,709.2","10,755.3","10,703.2","","0.38%"
"05/20/2024","10,709.2","10,808.9","10,812.6","10,705.6","","-0.92%"
"05/17/2024","10,808.9","10,743.5","10,810.8","10,743.5","","0.61%"
"05/16/2024","10,743.5","10,771.5","10,794.7","10,743.3","","-0.26%"
"05/15/2024","10,771.5","10,672.9","10,778.2","10,672.9","","0.92%"
"05/14/2024","10,672.9","10,603.9","10,676.3","10,603.9","","0.65%"
"05/13/2024","10,603.9","10,630.5","10,682.2","10,601.5","","-0.25%"
"05/10/2024","10,630.5","10,589.7","10,641.8","10,589.7","","0.39%"
"05/09/2024","10,589.7","10,520.4","10,592.4","10,502.4","","0.66%"
"05/08/2024","10,520.4","10,495.3","10,532.5","10,458.0","","0.24%"
"05/07/2024","10,495.3","10,461.9","10,526.1","10,461.9","","0.32%"
"05/06/2024","10,461.9","10,350.1","10,462.2","10,350.1","","1.51%"
"05/02/2024","10,305.9","10,223.3","10,324.3","10,222.0","","0.81%"
"05/01/2024","10,223.3","10,212.6","10,344.1","10,198.5","","0.11%"
"04/30/2024","10,212.6","10,335.9","10,335.9","10,212.0","","-1.19%"
"04/29/2024","10,335.9","10,331.3","10,375.2","10,300.2","","0.04%"
"04/26/2024","10,331.3","10,326.3","10,378.0","10,312.0","","0.05%"
"04/25/2024","10,326.3","10,364.6","10,364.6","10,224.2","","-0.37%"
"04/24/2024","10,364.6","10,393.9","10,393.9","10,318.6","","-0.28%"
"04/23/2024","10,393.9","10,300.5","10,406.9","10,300.5","","0.91%"
"04/22/2024","10,300.5","10,175.5","10,342.0","10,175.5","","1.23%"
"04/19/2024","10,175.5","10,068.3","10,188.2","10,068.3","","1.06%"
"04/18/2024","10,068.3","10,034.9","10,143.2","10,034.9","","0.33%"
"04/17/2024","10,034.9","10,023.1","10,096.0","10,000.2","","0.12%"
"04/16/2024","10,023.1","10,113.2","10,113.2","9,997.6","","-0.89%"
"04/15/2024","10,113.2","10,186.1","10,329.4","10,081.9","","-0.72%"
"04/12/2024","10,186.1","10,340.3","10,340.3","10,156.0","","-1.49%"
"04/11/2024","10,340.3","10,388.8","10,399.3","10,269.1","","-0.47%"
"04/10/2024","10,388.8","10,594.3","10,594.3","10,352.8","","-1.94%"
"04/09/2024","10,594.3","10,615.9","10,657.4","10,516.2","","-0.20%"
"04/08/2024","10,615.9","10,554.6","10,633.6","10,554.6","","0.58%"
"04/05/2024","10,554.6","10,479.6","10,581.8","10,472.3","","0.72%"
"04/04/2024","10,479.6","10,564.5","10,690.2","10,463.4","","-0.80%"
"04/03/2024","10,564.5","10,542.0","10,610.2","10,542.0","","0.21%"
"04/02/2024","10,542.0","10,607.0","10,607.0","10,522.9","","-0.61%"
"04/01/2024","10,607.0","10,702.5","10,702.5","10,592.1","","-0.89%"
"03/28/2024","10,702.5","10,650.4","10,717.3","10,650.4","","0.49%"
"03/27/2024","10,650.4","10,523.7","10,651.6","10,523.7","","1.20%"
"03/26/2024","10,523.7","10,519.4","10,565.2","10,519.4","","0.04%"
"03/25/2024","10,519.4","10,544.3","10,562.2","10,517.8","","-0.24%"
"03/22/2024","10,544.3","10,655.7","10,681.4","10,542.8","","-1.05%"
"03/21/2024","10,655.7","10,570.5","10,686.8","10,570.5","","0.81%"
"03/20/2024","10,570.5","10,439.1","10,580.9","10,403.6","","1.26%"
"03/19/2024","10,439.1","10,403.4","10,450.1","10,398.9","","0.34%"
"03/18/2024","10,403.4","10,374.6","10,424.8","10,357.7","","0.28%"
"03/15/2024","10,374.6","10,372.0","10,410.5","10,327.7","","0.03%"
"03/14/2024","10,372.0","10,481.8","10,487.1","10,318.4","","-1.05%"
"03/13/2024","10,481.8","10,446.1","10,505.2","10,445.3","","0.34%"
"03/12/2024","10,446.1","10,396.5","10,460.5","10,384.9","","0.48%"
"03/11/2024","10,396.5","10,402.8","10,403.2","10,330.8","","-0.06%"
"03/08/2024","10,402.8","10,371.7","10,466.0","10,371.7","","0.30%"
"03/07/2024","10,371.7","10,353.3","10,412.4","10,338.4","","0.18%"
"03/06/2024","10,353.3","10,290.4","10,385.4","10,290.4","","0.61%"
"03/05/2024","10,290.4","10,286.7","10,348.5","10,255.1","","0.04%"
"03/04/2024","10,286.7","10,270.4","10,315.7","10,250.5","","0.16%"
"03/01/2024","10,270.4","10,247.9","10,277.7","10,207.6","","0.22%"
"02/29/2024","10,247.9","10,213.5","10,267.6","10,197.0","","0.34%"
"02/28/2024","10,213.5","10,195.7","10,247.4","10,163.3","","0.18%"
"02/27/2024","10,195.7","10,159.5","10,198.8","10,151.8","","0.36%"
"02/26/2024","10,159.5","10,215.0","10,265.0","10,142.6","","-0.54%"
"02/23/2024","10,215.0","10,185.5","10,249.2","10,185.5","","0.29%"
"02/22/2024","10,185.5","10,081.0","10,208.8","10,081.0","","1.04%"
"02/21/2024","10,081.0","10,083.3","10,085.0","10,028.1","","-0.02%"
"02/20/2024","10,083.3","10,090.7","10,120.5","10,043.0","","-0.07%"
"02/16/2024","10,090.7","10,112.0","10,132.6","10,064.3","","-0.21%"
"02/15/2024","10,112.0","9,940.2","10,130.2","9,940.2","","1.73%"
"02/14/2024","9,940.2","9,834.1","9,942.1","9,834.1","","1.08%"
"02/13/2024","9,834.1","9,992.9","9,992.9","9,757.0","","-1.59%"
"02/12/2024","9,992.9","9,960.0","10,035.5","9,943.0","","0.33%"
"02/09/2024","9,960.0","9,918.7","9,960.0","9,886.5","","0.42%"
"02/08/2024","9,918.7","9,939.4","9,939.4","9,858.9","","-0.21%"
"02/07/2024","9,939.4","9,910.2","9,956.5","9,867.3","","0.29%"
"02/06/2024","9,910.2","9,868.4","9,911.1","9,859.1","","0.42%"
"02/05/2024","9,868.4","9,953.3","9,953.3","9,824.5","","-0.85%"
"02/02/2024","9,953.3","9,948.8","9,990.8","9,872.6","","0.05%"
"02/01/2024","9,948.8","9,903.3","9,949.6","9,793.1","","0.46%"
"01/31/2024","9,903.3","10,018.2","10,069.8","9,902.8","","-1.15%"
"01/30/2024","10,018.2","9,953.7","10,035.0","9,950.0","","0.65%"
"01/29/2024","9,953.7","9,918.6","9,954.6","9,874.1","","0.35%"
"01/26/2024","9,918.6","9,895.0","9,932.1","9,886.6","","0.24%"
"01/25/2024","9,895.0","9,831.2","9,895.7","9,831.2","","0.65%"
"01/24/2024","9,831.2","9,802.9","9,896.5","9,802.9","","0.29%"
"01/23/2024","9,802.9","9,814.5","9,841.7","9,779.2","","-0.12%"
"01/22/2024","9,814.5","9,766.3","9,864.7","9,766.3","","0.49%"
"01/19/2024","9,766.3","9,633.0","9,772.1","9,624.3","","1.38%"
"01/18/2024","9,633.0","9,610.3","9,643.4","9,558.4","","0.24%"
"01/17/2024","9,610.3","9,694.9","9,694.9","9,570.1","","-0.87%"
"01/16/2024","9,694.9","9,782.4","9,782.4","9,659.6","","-0.89%"
"01/12/2024","9,782.4","9,792.5","9,877.7","9,754.6","","-0.10%"
"01/11/2024","9,792.5","9,853.0","9,853.0","9,728.2","","-0.61%"
"01/10/2024","9,853.0","9,834.8","9,867.8","9,814.9","","0.18%"
"01/09/2024","9,834.8","9,932.5","9,932.5","9,816.4","","-0.98%"
"01/08/2024","9,932.5","9,852.9","9,932.5","9,825.4","","0.81%"
"01/05/2024","9,852.9","9,799.2","9,909.1","9,792.2","","0.55%"
"01/04/2024","9,799.2","9,778.0","9,877.3","9,778.0","","0.22%"
"01/03/2024","9,778.0","9,885.3","9,885.3","9,757.4","","-1.09%"
"01/02/2024","9,885.3","9,881.8","9,898.5","9,817.5","","0.04%"
"12/29/2023","9,881.8","9,925.0","9,928.6","9,865.7","","-0.44%"
"12/28/2023","9,925.0","9,901.3","9,936.3","9,893.4","","0.24%"
"12/27/2023","9,901.3","9,869.8","9,910.8","9,847.5","","0.32%"
"12/26/2023","9,869.8","9,816.5","9,887.9","9,815.2","","0.54%"
"12/22/2023","9,816.5","9,779.6","9,852.5","9,779.6","","0.38%"
"12/21/2023","9,779.6","9,681.9","9,784.0","9,681.9","","1.01%"
"12/20/2023","9,681.9","9,833.9","9,849.9","9,680.6","","-1.55%"
"12/19/2023","9,833.9","9,749.1","9,840.8","9,749.1","","0.87%"
"12/18/2023","9,749.1","9,747.7","9,787.5","9,743.8","","0.01%"
"12/15/2023","9,747.7","9,823.6","9,823.6","9,707.9","","-0.77%"
"12/14/2023","9,823.6","9,682.5","9,859.8","9,682.5","","1.46%"
"12/13/2023","9,682.5","9,484.0","9,691.2","9,473.7","","2.09%"
"12/12/2023","9,484.0","9,443.1","9,490.8","9,414.6","","0.43%"
"12/11/2023","9,443.1","9,400.6","9,452.5","9,399.4","","0.45%"
"12/08/2023","9,400.6","9,345.3","9,414.7","9,334.6","","0.59%"
"12/07/2023","9,345.3","9,294.7","9,349.8","9,294.7","","0.54%"
"12/06/2023","9,294.7","9,326.6","9,422.2","9,286.1","","-0.34%"
"12/05/2023","9,326.6","9,375.4","9,375.4","9,300.9","","-0.52%"
"12/04/2023","9,375.4","9,363.0","9,386.8","9,310.5","","0.13%"
"12/01/2023","9,363.0","9,258.9","9,367.3","9,232.5","","1.13%"
"11/30/2023","9,258.9","9,178.7","9,261.3","9,170.9","","0.87%"
"11/29/2023","9,178.7","9,109.5","9,228.1","9,109.5","","0.76%"
"11/28/2023","9,109.5","9,104.6","9,132.5","9,070.3","","0.05%"
"11/27/2023","9,104.6","9,122.6","9,122.6","9,086.5","","-0.20%"
"11/24/2023","9,122.6","9,079.1","9,133.8","9,079.1","","0.48%"
"11/22/2023","9,079.1","9,053.8","9,097.0","9,053.8","","0.28%"
"11/21/2023","9,053.8","9,081.9","9,083.5","9,051.5","","-0.31%"
"11/20/2023","9,081.9","9,041.4","9,098.9","9,007.1","","0.45%"
"11/17/2023","9,041.4","8,973.6","9,042.2","8,973.6","","0.76%"
"11/16/2023","8,973.6","8,972.9","8,994.8","8,952.1","","0.01%"
"11/15/2023","8,972.9","8,940.3","9,007.4","8,940.3","","0.36%"
"11/14/2023","8,940.3","8,688.4","8,974.4","8,688.4","","2.90%"
"11/13/2023","8,688.4","8,707.4","8,716.2","8,656.9","","-0.22%"
"11/10/2023","8,707.4","8,613.8","8,709.9","8,603.5","","1.09%"
"11/09/2023","8,613.8","8,663.0","8,702.4","8,604.3","","-0.57%"
"11/08/2023","8,663.0","8,671.9","8,682.7","8,624.2","","-0.10%"
"11/07/2023","8,671.9","8,700.1","8,700.1","8,650.7","","-0.32%"
"11/06/2023","8,700.1","8,757.1","8,774.0","8,663.6","","-0.65%"
"11/03/2023","8,757.1","8,614.5","8,799.1","8,614.5","","1.66%"
"11/02/2023","8,614.5","8,399.3","8,617.3","8,399.3","","2.56%"
"11/01/2023","8,399.3","8,332.4","8,419.4","8,332.4","","0.80%"
"10/31/2023","8,332.4","8,268.6","8,335.3","8,248.5","","0.77%"
"10/30/2023","8,268.6","8,154.9","8,281.5","8,154.9","","1.39%"
"10/27/2023","8,154.9","8,292.7","8,292.7","8,131.5","","-1.66%"
"10/26/2023","8,292.7","8,287.0","8,348.4","8,254.4","","0.07%"
"10/25/2023","8,287.0","8,335.6","8,341.8","8,270.2","","-0.58%"
"10/24/2023","8,335.6","8,298.4","8,373.5","8,294.7","","0.45%"
"10/23/2023","8,298.4","8,349.1","8,389.5","8,290.7","","-0.61%"
"10/20/2023","8,349.1","8,471.4","8,472.5","8,347.0","","-1.44%"
"10/19/2023","8,471.4","8,581.3","8,610.0","8,458.8","","-1.28%"
"10/18/2023","8,581.3","8,744.2","8,744.2","8,569.4","","-1.86%"
"10/17/2023","8,744.2","8,711.0","8,806.3","8,665.7","","0.38%"
"10/16/2023","8,711.0","8,608.4","8,740.1","8,608.4","","1.19%"
"10/13/2023","8,608.4","8,629.4","8,716.5","8,577.2","","-0.24%"
"10/12/2023","8,629.4","8,715.0","8,719.9","8,580.5","","-0.98%"
"10/11/2023","8,715.0","8,672.9","8,748.7","8,652.9","","0.48%"
"10/10/2023","8,672.9","8,591.9","8,722.9","8,591.9","","0.94%"
"10/09/2023","8,591.9","8,587.8","8,611.7","8,511.8","","0.05%"
"10/06/2023","8,587.8","8,523.5","8,632.3","8,441.8","","0.75%"
"10/05/2023","8,523.5","8,475.4","8,531.5","8,448.1","","0.57%"
"10/04/2023","8,475.4","8,416.1","8,477.3","8,369.3","","0.70%"
"10/03/2023","8,416.1","8,559.6","8,559.6","8,392.9","","-1.68%"
"10/02/2023","8,559.6","8,668.9","8,668.9","8,526.3","","-1.26%"
"09/29/2023","8,668.9","8,731.0","8,783.3","8,650.0","","-0.71%"
"09/28/2023","8,731.0","8,662.4","8,760.8","8,662.4","","0.79%"
"09/27/2023","8,662.4","8,678.8","8,704.7","8,606.6","","-0.19%"
"09/26/2023","8,678.8","8,802.5","8,802.5","8,670.9","","-1.40%"
"09/25/2023","8,802.5","8,806.0","8,806.0","8,740.1","","-0.04%"
"09/22/2023","8,806.0","8,857.5","8,883.4","8,802.2","","-0.58%"
"09/21/2023","8,857.5","8,998.0","8,998.0","8,857.4","","-1.56%"
"09/20/2023","8,998.0","9,071.0","9,114.8","8,995.6","","-0.81%"
"09/19/2023","9,071.0","9,073.0","9,109.2","9,029.5","","-0.02%"
