"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2024","3,389.94","3,387.03","3,397.42","3,375.97","680.75K","0.09%"
"07/09/2024","3,387.03","3,437.56","3,437.83","3,384.97","3.14M","-1.47%"
"07/08/2024","3,437.56","3,434.52","3,449.85","3,430.48","2.77M","0.12%"
"07/05/2024","3,433.48","3,458.84","3,489.03","3,431.81","4.40M","-0.73%"
"07/04/2024","3,458.84","3,442.11","3,462.64","3,442.11","3.04M","0.49%"
"07/03/2024","3,442.11","3,452.53","3,454.94","3,433.06","2.34M","-0.27%"
"07/02/2024","3,451.30","3,449.87","3,459.77","3,432.01","3.25M","0.04%"
"07/01/2024","3,449.94","3,414.16","3,454.53","3,414.16","0.00K","1.05%"
"06/28/2024","3,414.04","3,391.95","3,432.13","3,388.87","4.25M","0.65%"
"06/27/2024","3,392.05","3,390.04","3,405.80","3,383.26","2.51M","0.06%"
"06/26/2024","3,390.04","3,431.37","3,434.74","3,381.74","3.68M","-1.20%"
"06/25/2024","3,431.08","3,439.33","3,448.34","3,430.19","2.60M","-0.24%"
"06/24/2024","3,439.29","3,403.81","3,443.92","3,399.32","2.74M","1.07%"
"06/21/2024","3,402.78","3,413.15","3,414.81","3,396.13","6.31M","-0.29%"
"06/20/2024","3,412.79","3,410.28","3,423.43","3,401.27","3.64M","0.07%"
"06/19/2024","3,410.31","3,385.03","3,410.31","3,380.24","6.10M","0.75%"
"06/18/2024","3,384.93","3,383.37","3,410.98","3,365.18","3.13M","0.05%"
"06/17/2024","3,383.13","3,347.56","3,398.19","3,347.56","3.66M","1.05%"
"06/14/2024","3,348.13","3,320.87","3,357.28","3,320.87","5.25M","0.83%"
"06/13/2024","3,320.57","3,342.10","3,354.83","3,319.44","2.97M","-0.66%"
"06/12/2024","3,342.57","3,305.04","3,348.34","3,304.48","3.86M","1.14%"
"06/11/2024","3,305.04","3,319.45","3,337.17","3,296.93","3.59M","-0.43%"
"06/10/2024","3,319.34","3,337.71","3,337.71","3,297.97","4.06M","-0.63%"
"06/07/2024","3,340.35","3,349.60","3,349.60","3,324.83","2.45M","-0.28%"
"06/06/2024","3,349.57","3,334.04","3,350.18","3,329.99","3.14M","0.47%"
"06/05/2024","3,334.02","3,340.84","3,353.82","3,331.88","2.95M","-0.21%"
"06/04/2024","3,340.90","3,369.90","3,371.12","3,317.53","3.38M","-0.86%"
"06/03/2024","3,369.83","3,378.94","3,394.89","3,369.83","18.00M","-0.27%"
"05/31/2024","3,378.87","3,361.10","3,380.00","3,355.07","12.94M","0.53%"
"05/30/2024","3,360.92","3,339.89","3,367.47","3,328.80","4.53M","0.57%"
"05/29/2024","3,342.01","3,378.01","3,378.01","3,335.45","10.31M","-1.07%"
"05/28/2024","3,378.01","3,384.71","3,385.84","3,369.28","3.90M","-0.19%"
"05/27/2024","3,384.47","3,371.40","3,384.47","3,351.19","2.56M","0.39%"
"05/24/2024","3,371.40","3,335.79","3,377.15","3,335.79","4.56M","1.10%"
"05/23/2024","3,334.56","3,336.68","3,338.23","3,324.19","2.71M","-0.08%"
"05/22/2024","3,337.25","3,320.27","3,339.58","3,308.37","4.03M","0.52%"
"05/21/2024","3,319.95","3,355.63","3,356.18","3,314.86","4.84M","-1.06%"
"05/16/2024","3,355.63","3,335.49","3,359.96","3,335.49","6.26M","0.60%"
"05/15/2024","3,335.49","3,371.16","3,373.51","3,329.86","4.76M","-1.01%"
"05/14/2024","3,369.40","3,399.52","3,400.53","3,358.28","4.35M","-0.89%"
"05/13/2024","3,399.52","3,374.65","3,399.52","3,374.20","4.38M","0.74%"
"05/10/2024","3,374.65","3,346.36","3,388.15","3,346.36","4.38M","0.85%"
"05/08/2024","3,346.35","3,335.11","3,352.54","3,328.65","5.02M","0.34%"
"05/07/2024","3,335.11","3,322.47","3,342.52","3,321.21","7.41M","0.36%"
"05/06/2024","3,323.14","3,248.40","3,323.14","3,248.40","5.50M","2.32%"
"05/03/2024","3,247.94","3,229.79","3,262.01","3,229.79","3.51M","0.57%"
"05/02/2024","3,229.66","3,228.93","3,243.66","3,204.18","5.33M","-0.03%"
"04/30/2024","3,230.63","3,370.91","3,370.99","3,220.29","6.22M","-0.17%"
"04/29/2024","3,236.18","3,206.22","3,236.18","3,184.96","4.71M","0.94%"
"04/26/2024","3,205.97","3,202.58","3,212.38","3,195.73","5.55M","0.12%"
"04/25/2024","3,202.18","3,158.74","3,210.07","3,141.95","6.34M","1.38%"
"04/24/2024","3,158.74","3,168.98","3,175.38","3,140.51","7.84M","0.48%"
"04/23/2024","3,143.72","3,160.12","3,160.38","3,089.03","6.12M","-0.53%"
"04/22/2024","3,160.38","3,157.33","3,179.41","3,155.02","5.41M","0.23%"
"04/19/2024","3,153.12","3,160.65","3,162.39","3,127.28","4.18M","0.15%"
"04/18/2024","3,148.44","3,162.20","3,168.61","3,121.55","5.10M","-0.23%"
"04/17/2024","3,155.57","3,155.11","3,175.38","3,155.11","3.32M","0.09%"
"04/16/2024","3,152.60","3,205.02","3,205.02","3,152.04","4.40M","-1.64%"
"04/15/2024","3,205.06","3,204.45","3,205.99","3,187.09","2.96M","0.02%"
"04/12/2024","3,204.45","3,185.74","3,220.51","3,185.74","3.85M","0.91%"
"04/11/2024","3,175.70","3,243.80","3,245.45","3,175.70","5.12M","-2.10%"
"04/10/2024","3,243.80","3,215.66","3,254.36","3,215.09","4.46M","1.01%"
"04/09/2024","3,211.31","3,208.11","3,226.48","3,207.52","4.16M","0.10%"
"04/08/2024","3,208.11","3,202.08","3,222.71","3,198.64","3.00M","0.21%"
"04/05/2024","3,201.27","3,184.00","3,211.27","3,163.62","3.82M","0.91%"
"04/04/2024","3,172.35","3,215.12","3,219.18","3,172.35","4.31M","-1.31%"
"04/03/2024","3,214.62","3,170.63","3,214.63","3,170.63","4.32M","1.41%"
"04/02/2024","3,169.85","3,170.64","3,203.34","3,167.39","5.17M","-0.02%"
"03/27/2024","3,170.56","3,156.85","3,176.58","3,156.85","1.99M","0.43%"
"03/26/2024","3,156.85","3,155.52","3,162.47","3,151.21","2.89M","0.03%"
"03/25/2024","3,156.02","3,131.31","3,162.74","3,128.54","2.75M","0.79%"
"03/22/2024","3,131.31","3,135.13","3,144.91","3,125.88","3.84M","-0.10%"
"03/21/2024","3,134.54","3,147.49","3,147.87","3,120.11","4.74M","0.33%"
"03/20/2024","3,124.23","3,119.90","3,132.85","3,112.73","6.19M","0.11%"
"03/19/2024","3,120.73","3,111.03","3,123.90","3,105.86","4.29M","0.31%"
"03/18/2024","3,111.03","3,088.88","3,111.03","3,088.88","3.90M","0.72%"
"03/15/2024","3,088.75","3,123.09","3,131.00","3,088.75","17.35M","-1.10%"
"03/14/2024","3,122.98","3,134.01","3,148.37","3,116.91","2.94M","-0.44%"
"03/13/2024","3,136.71","3,133.02","3,140.24","3,125.32","3.98M","0.12%"
"03/12/2024","3,132.85","3,093.64","3,132.85","3,093.64","2.86M","1.29%"
"03/11/2024","3,093.10","3,115.63","3,117.29","3,090.75","2.57M","-0.72%"
"03/08/2024","3,115.63","3,100.00","3,122.28","3,098.46","2.47M","0.53%"
"03/07/2024","3,099.26","3,105.05","3,120.96","3,095.61","2.97M","-0.20%"
"03/06/2024","3,105.49","3,107.86","3,113.10","3,099.38","3.02M","-0.08%"
"03/05/2024","3,107.86","3,100.98","3,108.02","3,086.22","2.29M","0.24%"
"03/04/2024","3,100.56","3,109.97","3,115.78","3,092.78","2.26M","-0.30%"
"03/01/2024","3,109.92","3,092.31","3,126.28","3,092.31","3.28M","0.57%"
"02/29/2024","3,092.33","3,084.78","3,101.55","3,082.77","5.72M","0.24%"
"02/28/2024","3,084.78","3,076.66","3,091.44","3,072.27","2.82M","0.26%"
"02/27/2024","3,076.89","3,056.40","3,078.42","3,056.32","3.23M","0.66%"
"02/26/2024","3,056.60","3,066.63","3,072.24","3,056.60","2.62M","-0.31%"
"02/23/2024","3,066.19","3,054.08","3,066.19","3,046.55","2.90M","0.42%"
"02/22/2024","3,053.30","3,052.14","3,073.29","3,049.66","3.18M","0.08%"
"02/21/2024","3,050.94","3,082.23","3,082.99","3,049.78","4.27M","-1.02%"
"02/20/2024","3,082.23","3,072.17","3,082.43","3,062.35","5.52M","0.33%"
"02/19/2024","3,072.03","3,067.46","3,080.45","3,066.34","3.06M","0.11%"
