"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2024","2,821.51","2,804.05","2,833.09","2,801.78","2.82M","0.06%"
"07/09/2024","2,819.81","2,852.06","2,857.77","2,808.74","8.55M","-1.50%"
"07/08/2024","2,862.66","2,849.67","2,871.69","2,836.79","8.28M","0.63%"
"07/05/2024","2,844.66","2,855.06","2,861.68","2,832.54","8.22M","0.24%"
"07/04/2024","2,837.72","2,796.96","2,850.18","2,790.44","7.94M","0.40%"
"07/03/2024","2,826.33","2,861.32","2,861.40","2,826.28","12.12M","-1.46%"
"07/02/2024","2,868.07","2,898.64","2,909.81","2,814.10","11.32M","-0.96%"
"07/01/2024","2,895.73","2,910.72","2,917.89","2,862.92","","0.28%"
"06/28/2024","2,887.71","2,914.05","2,919.20","2,881.90","11.70M","-0.07%"
"06/27/2024","2,889.65","2,891.11","2,907.68","2,883.65","11.14M","-0.74%"
"06/26/2024","2,911.30","2,931.53","2,966.79","2,903.69","11.92M","-1.40%"
"06/25/2024","2,952.52","2,875.51","2,952.58","2,872.56","11.23M","2.70%"
"06/24/2024","2,874.92","2,862.84","2,882.07","2,854.89","8.67M","0.29%"
"06/21/2024","2,866.72","2,872.40","2,884.80","2,848.43","18.81M","-0.76%"
"06/20/2024","2,888.57","2,859.40","2,888.57","2,851.55","9.89M","1.02%"
"06/19/2024","2,859.31","2,840.20","2,861.10","2,837.18","8.68M","0.14%"
"06/18/2024","2,855.32","2,847.44","2,859.75","2,836.10","10.00M","0.25%"
"06/17/2024","2,848.12","2,873.48","2,885.23","2,846.37","12.97M","-0.87%"
"06/14/2024","2,873.15","2,872.94","2,892.80","2,848.04","10.82M","0.34%"
"06/13/2024","2,863.45","2,891.27","2,897.55","2,863.45","11.49M","-1.01%"
"06/12/2024","2,892.62","2,875.02","2,902.75","2,869.32","10.19M","0.74%"
"06/11/2024","2,871.50","2,901.56","2,910.66","2,864.48","12.19M","-0.74%"
"06/10/2024","2,892.90","2,874.50","2,898.29","2,872.00","9.49M","0.14%"
"06/07/2024","2,888.92","2,866.73","2,900.73","2,860.22","10.17M","0.79%"
"06/06/2024","2,866.17","2,855.44","2,874.46","2,841.04","13.42M","3.02%"
"06/04/2024","2,782.23","2,768.61","2,792.49","2,762.13","10.55M","0.84%"
"06/03/2024","2,758.93","2,766.63","2,782.46","2,741.19","9.66M","-0.37%"
"05/31/2024","2,769.27","2,736.22","2,779.27","2,727.74","29.54M","0.92%"
"05/30/2024","2,744.16","2,745.86","2,768.29","2,743.72","10.16M","0.58%"
"05/29/2024","2,728.24","2,735.89","2,744.93","2,720.72","10.01M","-0.86%"
"05/28/2024","2,751.97","2,763.01","2,777.36","2,743.08","10.11M","-0.33%"
"05/27/2024","2,760.95","2,761.68","2,776.71","2,742.01","5.92M","-0.23%"
"05/24/2024","2,767.23","2,787.24","2,792.56","2,754.37","8.50M","-0.83%"
"05/23/2024","2,790.40","2,760.05","2,803.09","2,759.72","10.30M","1.02%"
"05/22/2024","2,762.25","2,770.04","2,770.99","2,717.77","10.57M","-0.33%"
"05/21/2024","2,771.49","2,719.70","2,773.94","2,718.11","11.49M","1.55%"
"05/17/2024","2,729.17","2,744.50","2,766.44","2,725.08","12.42M","-0.85%"
"05/16/2024","2,752.59","2,743.61","2,767.43","2,690.35","12.20M","0.01%"
"05/15/2024","2,752.44","2,749.26","2,765.28","2,732.63","13.63M","0.92%"
"05/14/2024","2,727.26","2,745.96","2,761.36","2,716.18","13.10M","0.05%"
"05/13/2024","2,725.82","2,700.67","2,725.91","2,689.03","17.58M","2.36%"
"05/08/2024","2,662.96","2,673.88","2,682.80","2,654.87","12.11M","0.22%"
"05/07/2024","2,657.04","2,614.12","2,657.23","2,598.27","20.09M","2.70%"
"05/06/2024","2,587.28","2,585.86","2,595.20","2,560.22","9.98M","0.23%"
"05/03/2024","2,581.24","2,579.14","2,596.22","2,525.57","20.06M","-1.34%"
"05/02/2024","2,616.36","2,691.51","2,696.12","2,601.89","21.31M","-1.88%"
"05/01/2024","2,666.39","2,653.74","2,670.47","2,616.98","6.35M","-0.57%"
"04/30/2024","2,681.79","2,649.08","2,712.76","2,615.70","12.64M","1.14%"
"04/29/2024","2,651.64","2,662.44","2,675.05","2,642.22","8.18M","-0.05%"
"04/26/2024","2,652.99","2,609.18","2,653.51","2,608.25","9.68M","2.27%"
"04/25/2024","2,594.12","2,630.60","2,630.60","2,578.82","9.59M","-1.62%"
"04/24/2024","2,636.87","2,673.59","2,675.00","2,636.81","9.56M","-1.39%"
"04/23/2024","2,674.13","2,634.73","2,674.33","2,631.49","9.19M","1.46%"
"04/22/2024","2,635.67","2,587.61","2,638.28","2,582.77","9.47M","1.06%"
"04/19/2024","2,607.91","2,599.88","2,616.89","2,585.72","10.48M","0.47%"
"04/18/2024","2,595.73","2,622.04","2,626.98","2,582.92","9.06M","-0.77%"
"04/17/2024","2,615.93","2,610.31","2,637.76","2,602.40","8.97M","0.10%"
"04/16/2024","2,613.41","2,606.14","2,624.57","2,584.25","10.10M","-1.31%"
"04/15/2024","2,648.05","2,644.73","2,668.66","2,641.14","9.19M","0.06%"
"04/12/2024","2,646.56","2,640.41","2,681.68","2,635.39","10.80M","0.59%"
"04/11/2024","2,631.02","2,612.49","2,646.02","2,603.17","12.74M","0.33%"
"04/10/2024","2,622.45","2,615.99","2,623.46","2,576.37","9.67M","0.44%"
"04/09/2024","2,610.94","2,645.38","2,653.88","2,609.01","9.33M","-1.19%"
"04/08/2024","2,642.31","2,625.30","2,649.47","2,621.95","7.35M","0.35%"
"04/05/2024","2,633.19","2,606.86","2,636.96","2,594.78","9.38M","0.25%"
"04/04/2024","2,626.72","2,645.12","2,655.37","2,621.40","9.74M","-1.25%"
"04/03/2024","2,659.92","2,653.82","2,665.11","2,628.62","10.70M","1.03%"
"04/02/2024","2,632.86","2,697.17","2,702.61","2,619.29","15.44M","-1.37%"
"03/27/2024","2,669.49","2,695.24","2,700.84","2,659.89","9.78M","-0.67%"
"03/26/2024","2,687.53","2,695.30","2,701.79","2,672.02","10.85M","-0.37%"
"03/25/2024","2,697.51","2,685.35","2,700.46","2,676.37","8.00M","0.53%"
"03/22/2024","2,683.39","2,680.04","2,697.24","2,674.35","12.05M","-0.25%"
"03/21/2024","2,690.17","2,692.39","2,699.80","2,643.03","12.74M","-0.50%"
"03/20/2024","2,703.66","2,689.89","2,703.66","2,687.22","10.14M","0.59%"
"03/19/2024","2,687.69","2,714.33","2,725.21","2,687.46","10.33M","-1.10%"
"03/18/2024","2,717.70","2,711.43","2,717.83","2,682.25","8.73M","0.73%"
"03/15/2024","2,698.09","2,734.24","2,745.18","2,698.09","20.68M","-1.93%"
"03/14/2024","2,751.08","2,732.21","2,762.54","2,726.01","9.62M","1.21%"
"03/13/2024","2,718.18","2,742.39","2,754.02","2,709.25","8.88M","-0.78%"
"03/12/2024","2,739.60","2,715.43","2,749.80","2,672.31","9.39M","1.59%"
"03/11/2024","2,696.84","2,729.97","2,747.03","2,691.10","8.64M","-0.79%"
"03/08/2024","2,718.42","2,728.11","2,741.71","2,707.28","10.96M","-0.74%"
"03/07/2024","2,738.69","2,608.84","2,765.60","2,598.89","14.69M","5.69%"
"03/06/2024","2,591.15","2,594.75","2,608.28","2,578.29","10.05M","-0.35%"
"03/05/2024","2,600.26","2,664.15","2,665.08","2,594.74","10.81M","-2.00%"
"03/04/2024","2,653.22","2,639.71","2,661.20","2,628.36","11.34M","1.83%"
"03/01/2024","2,605.63","2,539.79","2,605.63","2,533.10","13.59M","2.82%"
"02/29/2024","2,534.15","2,560.53","2,567.73","2,532.78","27.26M","-0.71%"
"02/28/2024","2,552.36","2,551.40","2,574.96","2,543.51","10.45M","-0.20%"
"02/27/2024","2,557.47","2,589.30","2,590.54","2,497.21","10.14M","-0.80%"
"02/26/2024","2,578.09","2,583.65","2,593.29","2,574.15","9.22M","-0.41%"
"02/23/2024","2,588.79","2,601.68","2,601.89","2,586.24","9.80M","-0.43%"
"02/22/2024","2,600.02","2,579.98","2,606.14","2,579.98","13.28M","1.71%"
