"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2024","112.91","114.01","115.05","111.69","","-0.13%"
"07/08/2024","113.06","110.35","114.40","110.35","","1.98%"
"07/05/2024","110.87","111.44","113.88","110.20","","-0.46%"
"07/04/2024","111.38","109.61","111.38","109.61","","1.84%"
"07/03/2024","109.37","107.05","109.91","106.38","","2.84%"
"07/02/2024","106.35","106.10","106.50","105.13","","0.26%"
"07/01/2024","106.07","104.76","107.38","104.76","","2.96%"
"06/28/2024","103.02","103.33","104.82","102.53","","-0.06%"
"06/27/2024","103.08","102.32","103.81","101.77","","0.89%"
"06/26/2024","102.17","101.68","102.93","100.77","","0.63%"
"06/25/2024","101.53","103.05","104.06","100.80","","-1.48%"
"06/24/2024","103.05","104.27","104.97","102.35","","-0.91%"
"06/21/2024","104.00","108.85","109.49","103.88","","-4.53%"
"06/20/2024","108.94","104.67","109.82","103.54","","8.31%"
"06/19/2024","100.58","97.94","100.58","97.01","","3.55%"
"06/18/2024","97.13","98.09","99.31","96.64","","0.30%"
"06/17/2024","96.84","95.77","97.25","94.84","","2.04%"
"06/14/2024","94.90","97.71","98.15","93.42","","-3.02%"
"06/13/2024","97.86","101.22","101.92","97.13","","-3.76%"
"06/12/2024","101.68","102.50","103.63","101.57","","0.11%"
"06/11/2024","101.57","104.85","104.99","101.19","","-2.78%"
"06/10/2024","104.47","104.58","105.16","103.66","","-1.23%"
"06/07/2024","105.77","106.35","106.35","104.18","","-0.27%"
"06/06/2024","106.06","106.93","106.93","104.12","","-0.27%"
"06/05/2024","106.35","107.22","107.37","105.83","","-0.33%"
"06/04/2024","106.70","109.75","109.75","104.18","","-3.04%"
"06/03/2024","110.04","109.95","110.41","108.99","","1.75%"
"05/31/2024","108.15","108.44","108.82","107.40","","-0.03%"
"05/30/2024","108.18","104.06","108.24","103.89","","3.96%"
"05/29/2024","104.06","104.53","105.48","103.95","","-0.45%"
"05/28/2024","104.53","104.21","105.43","103.89","","0.36%"
"05/27/2024","104.15","106.21","106.50","103.95","","-1.49%"
"05/24/2024","105.72","104.76","105.77","104.27","","0.30%"
"05/23/2024","105.40","104.12","105.54","102.18","","1.74%"
"05/22/2024","103.60","103.74","104.67","103.05","","-0.09%"
"05/21/2024","103.69","104.41","104.67","102.90","","-0.19%"
"05/20/2024","103.89","103.69","107.08","103.57","","0.87%"
"05/17/2024","102.99","100.55","102.99","100.55","","2.43%"
"05/16/2024","100.55","102.44","104.35","99.80","","-1.76%"
"05/15/2024","102.35","102.26","102.73","100.09","","0.51%"
"05/14/2024","101.83","100.00","102.24","100.00","","1.44%"
"05/13/2024","100.38","99.74","101.13","99.13","","0.84%"
"05/10/2024","99.54","98.26","99.83","97.97","","1.48%"
"05/09/2024","98.09","97.07","98.32","96.38","","1.39%"
"05/08/2024","96.75","98.15","98.44","95.85","","-1.43%"
"05/07/2024","98.15","95.74","98.64","95.51","","3.02%"
"05/06/2024","95.27","94.96","95.56","94.64","","0.49%"
"05/03/2024","94.81","98.17","98.44","94.78","","-2.62%"
"05/02/2024","97.36","96.20","98.75","95.68","","1.79%"
"04/30/2024","95.65","95.19","96.61","94.17","","0.92%"
"04/29/2024","94.78","94.75","96.58","93.91","","0.42%"
"04/26/2024","94.38","93.74","95.45","93.48","","1.44%"
"04/25/2024","93.04","91.53","93.68","91.39","","2.26%"
"04/24/2024","90.98","94.69","94.96","90.98","","-3.78%"
"04/23/2024","94.55","93.42","95.01","93.42","","1.49%"
"04/22/2024","93.16","89.47","93.16","89.47","","5.08%"
"04/19/2024","88.66","90.55","90.61","87.59","","-2.83%"
"04/18/2024","91.24","86.57","91.48","86.43","","5.96%"
"04/17/2024","86.11","84.75","86.72","84.02","","1.95%"
"04/16/2024","84.46","85.47","85.91","84.25","","-3.12%"
"04/15/2024","87.18","88.37","88.84","85.96","","-1.55%"
"04/12/2024","88.55","87.99","90.23","87.79","","1.17%"
"04/11/2024","87.53","90.61","91.68","86.78","","-3.30%"
"04/10/2024","90.52","90.03","90.98","89.30","","1.47%"
"04/09/2024","89.21","89.74","90.61","89.13","","-0.36%"
"04/08/2024","89.53","90.26","90.72","88.98","","-0.74%"
"04/05/2024","90.20","90.55","90.84","88.84","","-1.17%"
"04/04/2024","91.27","90.14","92.61","89.82","","1.19%"
"04/03/2024","90.20","91.45","91.91","90.11","","-1.33%"
"04/02/2024","91.42","90.84","92.72","90.84","","0.45%"
"03/28/2024","91.01","89.01","91.33","88.55","","2.44%"
"03/27/2024","88.84","87.36","89.82","86.98","","1.50%"
