"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2024","4,078.59","4,141.31","4,142.30","4,069.11","","-1.36%"
"07/08/2024","4,134.78","4,168.20","4,193.68","4,133.56","","-1.25%"
"07/05/2024","4,187.22","4,227.06","4,229.30","4,183.71","","-0.83%"
"07/04/2024","4,222.07","4,184.69","4,235.24","4,184.69","","1.22%"
"07/03/2024","4,171.12","4,153.57","4,184.17","4,143.76","","0.93%"
"07/02/2024","4,132.69","4,205.56","4,206.66","4,128.94","","-2.10%"
"07/01/2024","4,221.37","4,216.74","4,232.96","4,188.21","","1.42%"
"06/28/2024","4,162.35","4,149.37","4,181.53","4,144.50","","0.87%"
"06/27/2024","4,126.60","4,102.87","4,140.81","4,102.87","","0.68%"
"06/26/2024","4,098.77","4,113.40","4,145.27","4,086.11","","0.08%"
"06/25/2024","4,095.58","4,139.57","4,145.01","4,090.70","","-1.21%"
"06/24/2024","4,145.69","4,083.41","4,147.02","4,078.12","","0.80%"
"06/20/2024","4,112.97","4,087.43","4,138.45","4,086.12","","0.91%"
"06/19/2024","4,076.03","4,083.11","4,092.50","4,063.64","","-0.18%"
"06/18/2024","4,083.43","4,123.52","4,123.85","4,061.44","","-0.17%"
"06/17/2024","4,090.55","4,120.22","4,160.29","4,082.37","","-0.44%"
"06/14/2024","4,108.76","4,118.77","4,138.26","4,078.22","","0.07%"
"06/13/2024","4,106.09","4,168.98","4,170.45","4,106.09","","-1.86%"
"06/12/2024","4,183.97","4,111.15","4,193.83","4,111.15","","2.08%"
"06/11/2024","4,098.59","4,094.41","4,124.42","4,069.25","","0.30%"
"06/10/2024","4,086.23","4,120.05","4,120.70","4,066.07","","-1.34%"
"06/07/2024","4,141.91","4,096.15","4,155.84","4,096.15","","1.82%"
"06/05/2024","4,067.80","4,060.65","4,079.67","4,038.94","","0.59%"
"06/04/2024","4,044.05","4,115.18","4,115.18","4,036.96","","-1.72%"
"06/03/2024","4,115.03","4,122.97","4,138.07","4,109.86","","0.59%"
"05/31/2024","4,090.74","4,060.59","4,091.16","4,052.61","","0.70%"
"05/30/2024","4,062.32","4,027.72","4,065.93","4,025.05","","0.64%"
"05/29/2024","4,036.47","4,080.24","4,086.50","4,028.03","","-1.44%"
"05/28/2024","4,095.39","4,082.22","4,096.36","4,077.92","","0.50%"
"05/27/2024","4,075.05","4,053.78","4,079.39","4,048.39","","0.45%"
"05/24/2024","4,056.85","4,044.32","4,061.36","4,018.51","","-1.40%"
"05/23/2024","4,114.35","4,086.31","4,124.95","4,081.23","","0.67%"
"05/22/2024","4,086.83","4,094.22","4,097.32","4,038.68","","-0.33%"
"05/21/2024","4,100.46","4,121.85","4,121.85","4,082.36","","-1.06%"
"05/20/2024","4,144.45","4,149.53","4,174.19","4,131.76","","0.34%"
"05/17/2024","4,130.31","4,114.79","4,130.31","4,101.18","","0.37%"
"05/16/2024","4,115.04","4,122.10","4,123.60","4,088.76","","-0.17%"
"05/15/2024","4,122.00","4,156.04","4,157.75","4,104.98","","-0.43%"
"05/14/2024","4,139.81","4,151.58","4,167.78","4,125.97","","-0.12%"
"05/13/2024","4,144.62","4,122.28","4,151.59","4,122.28","","0.39%"
"05/10/2024","4,128.38","4,024.19","4,128.38","4,022.42","","3.09%"
"05/08/2024","4,004.82","4,097.26","4,109.37","4,004.82","","-2.36%"
"05/07/2024","4,101.49","4,080.96","4,101.49","4,060.48","","0.77%"
"05/06/2024","4,070.26","4,000.13","4,070.26","3,994.76","","2.03%"
"05/03/2024","3,989.26","3,967.47","3,999.39","3,967.47","","1.04%"
"05/02/2024","3,948.11","3,976.38","3,984.98","3,946.30","","-0.71%"
"04/30/2024","3,976.32","3,970.63","3,978.63","3,941.88","","0.21%"
"04/29/2024","3,967.80","3,974.34","3,986.75","3,948.89","","0.41%"
"04/26/2024","3,951.46","3,945.20","3,970.72","3,930.97","","0.48%"
"04/25/2024","3,932.62","4,004.83","4,004.83","3,904.49","","-0.86%"
"04/24/2024","3,966.82","4,118.30","4,118.60","3,957.73","","-5.76%"
"04/23/2024","4,209.39","4,130.37","4,220.75","4,130.37","","1.94%"
"04/22/2024","4,129.30","4,116.06","4,138.66","4,087.50","","0.96%"
"04/19/2024","4,090.08","4,055.60","4,091.54","4,032.16","","0.36%"
"04/18/2024","4,075.33","4,060.83","4,075.33","4,013.81","","0.95%"
"04/17/2024","4,037.02","4,028.36","4,074.37","4,014.87","","0.96%"
"04/16/2024","3,998.56","4,042.64","4,050.16","3,989.56","","-2.49%"
"04/15/2024","4,100.73","4,105.48","4,142.12","4,099.43","","0.05%"
"04/12/2024","4,098.61","4,103.42","4,144.01","4,094.36","","0.48%"
"04/11/2024","4,078.99","4,139.83","4,139.83","4,049.28","","-1.49%"
"04/10/2024","4,140.67","4,159.24","4,179.55","4,117.87","","0.09%"
"04/09/2024","4,137.08","4,178.81","4,187.08","4,135.99","","-0.95%"
"04/08/2024","4,176.57","4,112.49","4,176.57","4,103.83","","1.90%"
"04/05/2024","4,098.86","4,045.46","4,111.54","4,031.77","","0.35%"
"04/04/2024","4,084.66","4,083.55","4,086.49","4,056.48","","0.18%"
"04/03/2024","4,077.24","4,071.67","4,092.16","4,059.61","","0.49%"
"04/02/2024","4,057.34","4,043.62","4,085.09","4,036.61","","0.58%"
"03/28/2024","4,034.01","4,045.94","4,065.80","4,018.97","","-0.08%"
"03/27/2024","4,037.42","4,211.58","4,211.58","4,037.42","","-2.44%"
"03/26/2024","4,138.58","4,065.25","4,140.76","4,051.14","","2.05%"
"03/25/2024","4,055.45","4,050.18","4,067.80","4,039.50","","0.21%"
"03/22/2024","4,046.76","4,087.05","4,116.46","4,044.24","","-0.87%"
"03/21/2024","4,082.40","4,029.85","4,082.40","4,019.26","","1.63%"
"03/20/2024","4,016.92","3,982.03","4,020.32","3,978.04","","0.11%"
"03/19/2024","4,012.49","3,967.34","4,015.24","3,967.34","","1.27%"
"03/18/2024","3,962.24","3,989.52","4,000.92","3,952.51","","-0.75%"
"03/15/2024","3,992.02","4,047.26","4,060.63","3,972.76","","-1.34%"
"03/14/2024","4,046.42","4,052.43","4,077.20","4,043.00","","-0.28%"
"03/13/2024","4,057.91","4,047.64","4,063.50","4,019.61","","0.10%"
"03/12/2024","4,054.04","4,004.84","4,056.76","4,003.74","","1.45%"
"03/11/2024","3,995.90","4,021.25","4,035.06","3,989.95","","-1.28%"
"03/08/2024","4,047.79","4,040.64","4,076.19","4,037.21","","0.33%"
"03/07/2024","4,034.53","4,005.18","4,041.98","4,000.59","","0.36%"
"03/06/2024","4,020.20","4,027.43","4,052.17","4,017.55","","-0.08%"
"03/05/2024","4,023.61","4,019.83","4,042.95","4,004.15","","-0.34%"
"03/04/2024","4,037.52","4,031.39","4,047.39","4,020.96","","0.15%"
"03/01/2024","4,031.37","4,036.79","4,063.51","4,031.19","","0.41%"
"02/29/2024","4,015.09","3,990.72","4,024.24","3,955.38","","0.65%"
"02/28/2024","3,989.12","3,960.83","4,001.94","3,960.83","","0.88%"
"02/27/2024","3,954.46","3,936.43","3,954.67","3,926.57","","0.32%"
"02/26/2024","3,941.79","3,934.67","3,945.46","3,927.84","","0.21%"
"02/23/2024","3,933.44","3,936.04","3,938.35","3,877.44","","-0.47%"
"02/22/2024","3,951.84","3,971.24","3,984.40","3,947.85","","0.17%"
"02/21/2024","3,945.29","3,957.33","3,968.02","3,939.72","","-0.28%"
"02/20/2024","3,956.39","3,941.03","3,964.88","3,939.55","","0.19%"
"02/19/2024","3,948.92","3,969.80","3,984.95","3,948.92","","-0.13%"
"02/16/2024","3,953.97","3,936.07","3,959.45","3,924.58","","1.12%"
"02/15/2024","3,909.99","3,869.72","3,917.19","3,860.54","","1.06%"
"02/14/2024","3,868.96","3,865.93","3,876.31","3,858.24","","-0.23%"
"02/13/2024","3,877.93","3,858.34","3,901.96","3,858.34","","0.43%"
"02/12/2024","3,861.29","3,814.39","3,862.69","3,810.93","","1.35%"
"02/09/2024","3,809.94","3,797.94","3,822.70","3,779.53","","0.00%"
"02/08/2024","3,810.04","3,857.35","3,864.38","3,809.97","","-0.49%"
"02/07/2024","3,828.71","3,821.71","3,876.67","3,814.74","","1.46%"
"02/06/2024","3,773.50","3,791.50","3,794.81","3,755.39","","0.30%"
"02/05/2024","3,762.25","3,820.94","3,825.79","3,751.77","","-1.57%"
"02/02/2024","3,822.28","3,824.93","3,848.21","3,792.77","","0.95%"
"02/01/2024","3,786.13","3,790.03","3,835.86","3,766.93","","-0.46%"
"01/31/2024","3,803.54","3,857.20","3,857.29","3,802.76","","-1.05%"
"01/30/2024","3,844.03","3,847.31","3,858.23","3,825.70","","0.44%"
"01/29/2024","3,827.29","3,845.00","3,863.06","3,822.90","","-0.72%"
"01/26/2024","3,855.13","3,880.89","3,880.89","3,819.29","","-0.31%"
"01/25/2024","3,867.15","3,664.81","3,867.15","3,664.81","","4.78%"
"01/24/2024","3,690.66","3,653.82","3,692.22","3,647.15","","1.38%"
"01/23/2024","3,640.54","3,653.07","3,653.07","3,629.05","","-0.09%"
"01/22/2024","3,643.91","3,613.80","3,645.62","3,613.80","","1.55%"
"01/19/2024","3,588.18","3,642.02","3,642.02","3,584.85","","-0.44%"
"01/18/2024","3,604.06","3,604.90","3,632.71","3,584.44","","-0.02%"
"01/17/2024","3,604.91","3,571.67","3,606.77","3,551.17","","-0.03%"
"01/16/2024","3,606.07","3,690.32","3,690.32","3,601.57","","-2.93%"
