"Date","Price","Open","High","Low","Vol.","Change %"
"2024-07-09","7,870.36","7,969.45","7,991.11","7,861.62","","-1.24%"
"2024-07-08","7,969.45","7,990.75","8,035.33","7,949.83","","-0.27%"
"2024-07-05","7,990.75","7,995.73","8,089.42","7,959.06","","-0.06%"
"2024-07-04","7,995.73","7,932.19","8,009.34","7,931.49","","0.80%"
"2024-07-03","7,932.19","7,888.56","7,932.19","7,842.05","","0.55%"
"2024-07-02","7,888.56","7,839.79","7,906.94","7,799.36","","0.62%"
"2024-07-01","7,839.79","7,915.55","7,995.21","7,839.79","","-0.96%"
"2024-06-28","7,915.55","7,876.03","8,021.24","7,875.93","","0.50%"
"2024-06-27","7,876.03","7,962.34","7,975.89","7,844.84","","-1.08%"
"2024-06-26","7,962.34","8,009.23","8,051.17","7,954.26","","-0.59%"
"2024-06-25","8,009.23","8,104.99","8,106.50","7,997.66","","-1.18%"
"2024-06-24","8,104.99","8,093.22","8,145.37","8,052.08","","0.15%"
"2024-06-21","8,093.22","8,109.69","8,136.20","8,001.45","","-0.20%"
"2024-06-20","8,109.69","8,000.33","8,110.18","7,987.08","","1.82%"
"2024-06-19","7,964.42","7,948.57","7,980.52","7,927.72","","0.20%"
"2024-06-18","7,948.57","7,814.88","7,961.68","7,814.88","","1.71%"
"2024-06-17","7,814.88","7,750.66","7,831.32","7,746.62","","0.83%"
"2024-06-14","7,750.66","7,773.33","7,798.40","7,692.29","","-0.29%"
"2024-06-13","7,773.33","7,935.84","7,935.84","7,770.65","","-1.85%"
"2024-06-12","7,919.75","7,705.60","7,934.07","7,704.98","","2.78%"
"2024-06-11","7,705.60","7,720.48","7,778.41","7,652.58","","-0.19%"
"2024-06-10","7,720.48","7,696.58","7,720.48","7,630.37","","0.31%"
"2024-06-07","7,696.58","7,791.30","7,795.78","7,666.70","","-1.22%"
"2024-06-06","7,791.30","7,802.23","7,833.19","7,753.29","","-0.11%"
"2024-06-05","7,799.90","7,790.84","7,829.40","7,748.83","","0.12%"
"2024-06-04","7,790.84","7,829.85","7,831.96","7,751.06","","-0.50%"
"2024-06-03","7,829.85","7,711.68","7,851.85","7,709.48","","1.53%"
"2024-05-31","7,711.68","7,744.03","7,755.41","7,690.91","","-0.42%"
"2024-05-30","7,744.03","7,708.38","7,774.88","7,661.52","","0.48%"
"2024-05-29","7,707.14","7,790.75","7,794.21","7,693.92","","-1.07%"
"2024-05-28","7,790.75","7,833.22","7,886.61","7,762.39","","-0.54%"
"2024-05-24","7,833.22","7,782.64","7,842.48","7,705.89","","0.65%"
"2024-05-23","7,782.64","7,660.48","7,799.99","7,660.48","","1.59%"
"2024-05-22","7,660.48","7,714.79","7,716.56","7,586.93","","-0.70%"
"2024-05-21","7,714.79","7,699.87","7,735.21","7,673.30","","0.19%"
"2024-05-20","7,699.87","7,667.59","7,730.43","7,665.53","","0.42%"
"2024-05-17","7,667.59","7,716.38","7,716.38","7,640.59","","-0.63%"
"2024-05-16","7,716.38","7,694.65","7,717.97","7,678.25","","0.28%"
"2024-05-15","7,694.65","7,650.82","7,696.57","7,624.30","","0.57%"
"2024-05-14","7,650.82","7,588.81","7,659.29","7,570.39","","0.82%"
"2024-05-13","7,588.81","7,532.37","7,601.14","7,527.68","","0.75%"
"2024-05-10","7,532.37","7,447.11","7,538.91","7,419.49","","1.14%"
"2024-05-09","7,447.11","7,600.68","7,602.32","7,421.88","","-1.99%"
"2024-05-08","7,598.20","7,560.36","7,598.20","7,542.49","","0.50%"
"2024-05-07","7,560.36","7,455.59","7,594.42","7,455.59","","2.92%"
"2024-05-02","7,345.80","7,309.16","7,351.90","7,275.32","","0.50%"
"2024-05-01","7,309.16","7,350.70","7,354.83","7,294.71","","-0.57%"
"2024-04-30","7,350.70","7,329.70","7,399.86","7,328.77","","0.29%"
"2024-04-29","7,329.70","7,268.86","7,329.70","7,268.86","","0.84%"
"2024-04-26","7,268.86","7,154.08","7,288.87","7,154.08","","1.60%"
"2024-04-25","7,154.08","7,207.06","7,232.26","7,130.97","","-0.67%"
"2024-04-24","7,202.32","7,239.56","7,294.96","7,175.55","","-0.51%"
"2024-04-23","7,239.56","7,172.26","7,249.47","7,172.26","","0.94%"
"2024-04-22","7,172.26","7,139.48","7,209.31","7,139.48","","0.46%"
"2024-04-19","7,139.48","7,198.31","7,198.31","7,067.36","","-0.82%"
"2024-04-18","7,198.31","7,177.22","7,221.22","7,151.51","","0.43%"
"2024-04-17","7,167.31","7,117.40","7,213.65","7,097.12","","0.70%"
"2024-04-16","7,117.40","7,261.82","7,261.82","7,097.73","","-1.99%"
"2024-04-15","7,261.82","7,234.62","7,314.15","7,220.98","","0.38%"
"2024-04-12","7,234.62","7,244.62","7,346.48","7,229.15","","-0.14%"
"2024-04-11","7,244.62","7,265.68","7,272.91","7,160.44","","-0.02%"
"2024-04-10","7,246.21","7,180.15","7,304.32","7,178.88","","0.92%"
"2024-04-09","7,180.15","7,240.35","7,240.35","7,164.50","","-0.83%"
"2024-04-08","7,240.35","7,172.07","7,247.16","7,160.63","","0.95%"
"2024-04-05","7,172.07","7,249.39","7,249.39","7,099.13","","-1.07%"
"2024-04-04","7,249.39","7,236.66","7,268.11","7,232.87","","0.18%"
"2024-04-03","7,236.66","7,191.93","7,241.11","7,160.27","","0.62%"
"2024-04-02","7,191.93","7,246.52","7,338.23","7,178.31","","-0.75%"
"2024-03-28","7,246.52","7,253.46","7,275.12","7,210.40","","0.34%"
"2024-03-27","7,222.06","7,268.93","7,280.80","7,221.36","","-0.64%"
"2024-03-26","7,268.93","7,229.73","7,277.89","7,214.09","","0.54%"
"2024-03-25","7,229.73","7,193.86","7,254.09","7,186.87","","0.50%"
"2024-03-22","7,193.86","7,164.56","7,206.49","7,138.94","","0.41%"
"2024-03-21","7,164.56","6,857.02","7,185.14","6,857.02","","4.69%"
"2024-03-20","6,843.27","6,832.61","6,861.40","6,812.76","","0.16%"
"2024-03-19","6,832.61","6,811.70","6,832.61","6,790.55","","0.31%"
"2024-03-18","6,811.70","6,864.26","6,876.74","6,798.28","","-0.77%"
"2024-03-15","6,864.26","6,856.20","6,897.69","6,841.28","","0.12%"
"2024-03-14","6,856.20","6,901.04","6,919.09","6,832.70","","-0.44%"
"2024-03-13","6,886.22","6,932.03","6,975.42","6,883.79","","-0.66%"
"2024-03-12","6,932.03","6,823.50","6,952.28","6,823.50","","1.59%"
"2024-03-11","6,823.50","6,845.21","6,851.84","6,778.05","","-0.32%"
"2024-03-08","6,845.21","6,877.28","6,891.06","6,816.88","","-0.47%"
"2024-03-07","6,877.28","6,876.38","6,923.11","6,837.00","","0.01%"
"2024-03-06","6,876.38","6,821.22","6,903.84","6,818.46","","0.81%"
"2024-03-05","6,821.22","6,786.94","6,840.82","6,756.95","","0.51%"
"2024-03-04","6,786.94","6,848.05","6,848.05","6,767.22","","-0.89%"
"2024-03-01","6,848.05","6,751.88","6,857.18","6,724.76","","1.42%"
"2024-02-29","6,751.88","6,718.16","6,803.24","6,717.24","","0.66%"
"2024-02-28","6,707.80","6,753.38","6,760.35","6,606.19","","-0.67%"
"2024-02-27","6,753.38","6,802.31","6,829.15","6,735.27","","-0.72%"
"2024-02-26","6,802.31","6,826.28","6,841.80","6,802.31","","-0.35%"
"2024-02-23","6,826.28","6,866.92","6,881.70","6,817.54","","-0.59%"
"2024-02-22","6,866.92","6,862.80","6,918.26","6,838.11","","0.06%"
"2024-02-21","6,862.80","6,850.91","6,872.90","6,830.53","","0.17%"
"2024-02-20","6,850.91","6,908.59","6,921.48","6,834.03","","-0.83%"
"2024-02-19","6,908.59","6,924.31","6,927.31","6,880.66","","-0.23%"
"2024-02-16","6,924.31","6,829.52","6,936.46","6,826.47","","1.39%"
"2024-02-15","6,829.52","6,736.04","6,835.49","6,736.04","","1.39%"
"2024-02-14","6,736.04","6,686.25","6,779.69","6,682.42","","0.74%"
"2024-02-13","6,686.25","6,809.61","6,809.61","6,635.93","","-1.81%"
"2024-02-12","6,809.61","6,767.34","6,826.20","6,752.24","","0.62%"
"2024-02-09","6,767.34","6,742.28","6,796.61","6,723.95","","0.37%"
"2024-02-08","6,742.28","6,662.47","6,787.09","6,659.30","","1.20%"
"2024-02-07","6,662.47","6,677.00","6,702.00","6,629.90","","-0.22%"
"2024-02-06","6,677.00","6,675.57","6,726.91","6,631.88","","0.02%"
"2024-02-05","6,675.57","6,731.10","6,769.54","6,672.68","","-0.82%"
"2024-02-02","6,731.10","6,722.64","6,803.01","6,692.20","","0.13%"
"2024-02-01","6,722.64","6,905.85","6,905.85","6,713.24","","-2.58%"
"2024-01-31","6,900.56","6,913.61","6,943.03","6,879.95","","-0.19%"
"2024-01-30","6,913.61","6,826.83","6,930.34","6,823.44","","1.27%"
"2024-01-29","6,826.83","6,894.98","6,925.42","6,814.08","","-0.99%"
"2024-01-26","6,894.98","6,789.98","6,894.98","6,760.49","","1.55%"
"2024-01-25","6,789.98","6,775.85","6,794.05","6,687.57","","0.21%"
"2024-01-24","6,775.85","6,714.93","6,775.85","6,702.40","","0.91%"
"2024-01-23","6,714.93","6,732.71","6,772.04","6,704.47","","-0.26%"
"2024-01-22","6,732.71","6,647.30","6,752.29","6,647.30","","1.28%"
"2024-01-19","6,647.30","6,671.77","6,735.90","6,633.81","","-0.37%"
"2024-01-18","6,671.77","6,593.09","6,675.54","6,593.09","","1.19%"
"2024-01-17","6,593.09","6,671.77","6,671.77","6,520.80","","-1.18%"
"2024-01-16","6,671.77","6,662.41","6,676.04","6,602.08","","0.14%"
"2024-01-15","6,662.41","6,668.15","6,700.98","6,616.08","","-0.09%"
