"Date","Price","Open","High","Low","Vol.","Change %"
"2024-07-09","8,551.17","8,529.69","8,575.69","8,502.51","47.29M","0.25%"
"2024-07-08","8,529.69","8,470.24","8,532.62","8,470.24","51.03M","0.70%"
"2024-07-05","8,470.24","8,560.69","8,582.64","8,470.24","53.94M","-1.06%"
"2024-07-04","8,560.69","8,567.29","8,592.33","8,558.08","17.68M","-0.08%"
"2024-07-03","8,567.29","8,479.78","8,571.37","8,479.78","42.15M","1.17%"
"2024-07-02","8,468.35","8,417.78","8,473.65","8,376.59","82.43M","0.60%"
"2024-06-28","8,417.60","8,419.61","8,457.00","8,391.07","77.74M","0.11%"
"2024-06-27","8,408.76","8,358.18","8,415.75","8,333.27","36.24M","0.61%"
"2024-06-26","8,358.18","8,390.46","8,390.46","8,305.54","38.30M","-0.38%"
"2024-06-25","8,390.46","8,399.42","8,403.43","8,343.73","33.70M","-0.11%"
"2024-06-24","8,399.42","8,260.29","8,399.68","8,260.29","55.52M","1.72%"
"2024-06-21","8,257.01","8,244.62","8,266.34","8,217.83","122.34M","0.15%"
"2024-06-20","8,244.62","8,266.66","8,286.11","8,233.80","53.20M","-0.27%"
"2024-06-19","8,266.66","8,311.67","8,323.68","8,249.30","17.73M","-0.54%"
"2024-06-18","8,311.67","8,284.37","8,345.86","8,281.46","40.46M","0.33%"
"2024-06-17","8,284.37","8,297.31","8,297.31","8,234.60","55.61M","-0.16%"
"2024-06-14","8,297.31","8,335.02","8,335.02","8,212.22","41.94M","-0.43%"
"2024-06-13","8,333.02","8,441.26","8,441.26","8,320.10","47.54M","-1.26%"
"2024-06-12","8,439.77","8,398.48","8,496.72","8,398.48","48.68M","0.49%"
"2024-06-11","8,398.48","8,489.94","8,489.94","8,390.16","43.15M","-1.08%"
"2024-06-10","8,489.94","8,496.32","8,501.73","8,454.50","45.21M","-0.08%"
"2024-06-07","8,496.32","8,525.88","8,525.88","8,474.91","50.49M","-0.35%"
"2024-06-06","8,525.88","8,549.40","8,570.41","8,509.10","36.34M","-0.27%"
"2024-06-05","8,549.10","8,530.23","8,578.61","8,502.84","34.02M","0.22%"
"2024-06-04","8,530.23","8,552.24","8,552.24","8,477.49","33.84M","-0.26%"
"2024-06-03","8,552.24","8,575.27","8,597.18","8,496.47","60.44M","-0.27%"
"2024-05-31","8,575.27","8,516.95","8,575.27","8,445.56","68.14M","0.72%"
"2024-05-30","8,513.92","8,355.91","8,528.14","8,355.91","46.15M","1.89%"
"2024-05-29","8,355.91","8,560.36","8,560.36","8,355.49","48.34M","-2.34%"
"2024-05-28","8,556.22","8,650.21","8,650.21","8,540.86","40.94M","-1.09%"
"2024-05-27","8,650.21","8,644.11","8,660.44","8,634.10","20.99M","0.07%"
"2024-05-24","8,644.11","8,578.49","8,654.58","8,578.49","38.50M","0.76%"
"2024-05-23","8,578.49","8,616.50","8,659.41","8,546.31","45.64M","-0.43%"
"2024-05-22","8,615.79","8,647.49","8,647.67","8,596.27","39.12M","-0.37%"
"2024-05-21","8,647.49","8,671.11","8,679.98","8,611.79","50.26M","-0.20%"
"2024-05-17","8,664.79","8,618.95","8,666.40","8,615.50","55.47M","0.53%"
"2024-05-16","8,618.81","8,606.92","8,643.93","8,605.78","35.06M","0.14%"
"2024-05-15","8,606.46","8,582.06","8,620.73","8,582.06","38.79M","0.28%"
"2024-05-14","8,582.06","8,586.65","8,617.05","8,570.40","30.57M","-0.05%"
"2024-05-13","8,586.65","8,577.55","8,626.41","8,573.63","39.12M","0.11%"
"2024-05-10","8,577.55","8,579.51","8,601.29","8,572.15","39.20M","-0.02%"
"2024-05-09","8,579.51","8,531.24","8,582.22","8,531.24","29.84M","0.57%"
"2024-05-08","8,531.24","8,458.77","8,531.40","8,431.65","39.23M","0.86%"
"2024-05-07","8,458.77","8,463.03","8,504.43","8,456.38","44.69M","-0.05%"
"2024-05-06","8,463.03","8,372.48","8,468.87","8,372.48","54.48M","1.08%"
"2024-05-03","8,372.48","8,336.67","8,401.78","8,336.67","61.13M","0.43%"
"2024-05-02","8,336.67","8,322.14","8,374.29","8,303.35","44.28M","0.17%"
"2024-05-01","8,322.14","8,277.00","8,377.17","8,252.35","46.57M","0.55%"
"2024-04-30","8,277.00","8,317.45","8,333.92","8,277.00","40.61M","-0.49%"
"2024-04-29","8,317.45","8,318.65","8,344.66","8,276.94","47.88M","-0.01%"
"2024-04-26","8,318.65","8,283.32","8,324.98","8,271.93","34.26M","0.54%"
"2024-04-25","8,273.74","8,298.62","8,298.62","8,180.47","57.87M","-0.30%"
"2024-04-24","8,298.62","8,350.22","8,361.26","8,267.99","57.56M","-0.42%"
"2024-04-23","8,333.27","8,301.01","8,347.08","8,297.28","34.05M","0.39%"
"2024-04-22","8,301.01","8,251.66","8,320.14","8,251.66","61.32M","0.60%"
"2024-04-19","8,251.66","8,195.19","8,260.59","8,181.65","46.54M","0.69%"
"2024-04-18","8,195.19","8,174.83","8,233.96","8,152.36","37.77M","0.25%"
"2024-04-17","8,174.83","8,166.21","8,246.72","8,137.90","39.40M","0.11%"
"2024-04-16","8,166.21","8,230.90","8,230.90","8,139.68","44.84M","-0.79%"
"2024-04-15","8,230.90","8,280.26","8,366.37","8,206.19","45.96M","-0.60%"
"2024-04-12","8,280.26","8,356.66","8,356.66","8,253.51","34.28M","-0.91%"
"2024-04-11","8,356.66","8,389.39","8,389.39","8,307.67","41.38M","-0.39%"
"2024-04-10","8,389.39","8,521.37","8,521.37","8,356.54","53.65M","-1.55%"
"2024-04-09","8,521.37","8,511.40","8,552.57","8,449.04","33.37M","0.12%"
"2024-04-08","8,511.34","8,486.30","8,516.64","8,476.59","39.45M","0.48%"
"2024-04-05","8,470.53","8,405.07","8,490.16","8,405.07","45.13M","0.78%"
"2024-04-04","8,405.07","8,462.32","8,498.63","8,388.43","49.94M","-0.12%"
"2024-04-03","8,415.07","8,379.51","8,454.02","8,379.51","42.56M","0.24%"
"2024-04-02","8,395.14","8,480.65","8,480.65","8,379.52","43.38M","-1.01%"
"2024-04-01","8,480.65","8,528.70","8,528.70","8,447.73","50.72M","-0.43%"
"2024-03-28","8,517.50","8,492.88","8,540.65","8,487.64","53.66M","0.29%"
"2024-03-27","8,492.71","8,426.76","8,492.84","8,426.76","39.68M","0.91%"
"2024-03-26","8,416.03","8,419.10","8,464.99","8,402.37","63.70M","-0.04%"
"2024-03-25","8,419.10","8,437.26","8,480.15","8,419.10","42.87M","-0.22%"
"2024-03-22","8,437.26","8,490.41","8,517.43","8,432.61","48.67M","-0.59%"
"2024-03-21","8,487.28","8,434.61","8,519.61","8,434.61","58.02M","0.62%"
"2024-03-20","8,434.61","8,373.39","8,444.25","8,362.28","45.19M","0.73%"
"2024-03-19","8,373.39","8,350.93","8,399.91","8,350.93","42.86M","0.27%"
"2024-03-18","8,350.93","8,359.44","8,370.21","8,323.97","49.10M","-0.10%"
"2024-03-15","8,359.37","8,361.54","8,385.41","8,329.28","114.03M","-0.03%"
"2024-03-14","8,361.54","8,429.73","8,429.73","8,325.76","54.29M","-0.78%"
"2024-03-13","8,427.65","8,401.94","8,444.54","8,401.94","44.72M","0.31%"
"2024-03-12","8,401.94","8,381.53","8,406.48","8,361.06","30.07M","0.26%"
"2024-03-11","8,380.19","8,352.25","8,387.25","8,311.13","30.90M","0.33%"
"2024-03-08","8,352.25","8,369.13","8,392.60","8,339.27","31.38M","-0.20%"
"2024-03-07","8,369.13","8,320.01","8,371.41","8,320.01","27.35M","0.59%"
"2024-03-06","8,320.01","8,301.32","8,375.11","8,296.21","33.02M","0.23%"
"2024-03-05","8,301.04","8,267.77","8,329.59","8,260.91","50.30M","0.40%"
"2024-03-04","8,267.77","8,265.72","8,302.63","8,246.14","37.20M","0.02%"
"2024-03-01","8,265.72","8,234.03","8,295.63","8,228.54","33.58M","0.39%"
"2024-02-29","8,233.97","8,181.05","8,236.75","8,170.69","89.83M","0.66%"
"2024-02-28","8,180.33","8,201.09","8,235.98","8,177.83","35.10M","-0.22%"
