NormalizedDate,2024_French Senate election_FRFNN,2023_Spanish general election_IBEXIB,2023_Dutch general election_NLFIN,2023_Polish parliamentary election_BNKI,2023_Greek legislative election_FTATBNK,2023_Finnish parliamentary election_N3020PI,2023_Italian local elections_FTITLMS30,2023_Spanish local elections_IBEXIB,2023_Spanish regional elections_IBEXIB,2022_United States elections_NYK,2022_French presidential election_FRFNN,2022_French legislative election_FRFNN,2022_Swedish general election_SX3010GI,2022_Italian general election_FTITLMS30,2021_German federal election_CXPVX,2021_Norwegian parliamentary election_OFING,2021_Dutch general election_NLFIN,2020_United States presidential election_NYK,2020_United States Senate elections_NYK,2020_United States House of Representatives elections_NYK,2019_Spanish general election_IBEXIB_x,2019_Spanish general election_IBEXIB_y,2019_Portuguese legislative election_PTFIN,2019_Greek legislative election_FTATBNK,2019_Belgian federal election_BEFIN,2019_Danish general election_OMXC20,2019_Finnish parliamentary election_N3020PI,2019_Spanish general election_IBEXIB,2018_Swedish general election_SX3010GI,2018_Italian general election_FTITLMS30,2017_German federal election_CXPVX,2017_French presidential election_FRFNN,2017_French legislative election_FRFNN,2017_United Kingdom general election_TRINMX302020,2017_Dutch general election_NLFIN,2016_United States presidential election_NYK,2016_United States Senate elections_NYK,2016_United States House of Representatives elections_NYK,2016_Spanish general election_IBEXIB,2016_United Kingdom Brexit_TRINMX302020,2015_Portuguese legislative election_PTFIN,2015_Spanish general election_IBEXIB,2015_United Kingdom general election_TRINMX302020,2014_Swedish general election_SX3010GI,2014_Belgian federal election_BEFIN,2013_German federal election_CXPVX,2013_Italian general election_FTITLMS30,2013_Norwegian parliamentary election_OFING
-90,926.93,604.9,582.37,8555.99,911.32,3013.94,14022.4,638.9,638.9,9100.5,968.77,813.18,2698.47,11194.7,2817.74,2598.56,451.73,6955.8,6955.8,6955.8,581.1,448.8,79.51,621.08,836.24,989.39,1905.94,581.1,2125.88,13914.62,1778.03,854.18,884.33,4549.32,658.03,6209.8,6209.8,6209.8,615.7,3950.27,99.35,789.6,3894.65,1803.75,592.46,760.48,10057.28,837.48
-89,920.88,582.1,582.01,8740.68,919.53,3041.04,14022.4,659.3,659.3,9148.8,974.52,815.58,2706.89,11262.2,2814.6,2585.73,450.69,6965.5,6965.5,6965.5,580.6,453.2,78.79,628.1,840.46,987.61,1913.04,580.6,2127.21,13890.66,1759.22,859.29,874.25,4549.32,657.57,6221.5,6221.5,6221.5,615.7,3950.27,97.0,789.6,3894.65,1808.79,595.31,772.2,10039.6,822.69
-88,915.04,579.2,582.01,8732.46,881.01,3077.14,14022.4,650.8,650.8,9280.3,983.48,850.86,2727.98,11119.7,2801.41,2589.76,450.69,7055.5,7055.5,7055.5,573.8,438.3,79.47,630.1,848.2,987.61,1916.4,573.8,2098.59,13772.24,1750.05,878.85,877.4,4549.32,657.57,6209.9,6209.9,6209.9,616.2,3950.27,99.05,789.6,3894.65,1801.62,592.08,786.93,9964.88,832.5
-87,915.04,587.5,582.01,8691.96,902.88,3064.67,13946.5,651.0,651.0,9280.3,996.76,844.1,2564.61,10720.7,2810.02,2555.03,450.69,7055.5,7055.5,7055.5,563.9,438.5,79.55,645.11,858.51,987.61,1910.43,563.9,2133.12,13940.82,1729.45,877.14,884.48,4554.79,657.57,6209.9,6209.9,6209.9,602.1,3950.27,104.84,789.6,3856.08,1801.17,591.29,791.33,10354.24,833.5
-86,915.04,564.4,588.37,8627.1,901.68,3064.67,13927.0,667.2,667.2,9280.3,991.9,846.76,2554.97,10742.6,2842.69,2555.03,435.71,7055.5,7055.5,7055.5,551.3,453.8,79.73,641.01,860.6,989.62,1949.98,551.3,2103.1,14266.53,1736.02,874.04,884.38,4534.17,656.07,6209.9,6209.9,6209.9,593.6,3950.27,110.22,789.6,3888.92,1801.17,596.96,796.58,10311.06,832.65
-85,939.05,564.4,594.98,8627.1,901.68,3064.67,13794.3,667.2,667.2,9288.9,991.9,846.76,2554.97,10742.6,2842.69,2555.03,442.17,7103.2,7103.2,7103.2,551.3,453.8,79.73,641.01,860.6,993.97,1949.98,551.3,2103.1,14266.53,1736.02,874.04,884.38,4535.33,662.13,6239.8,6239.8,6239.8,593.6,4007.88,110.22,789.6,3875.68,1801.17,596.96,796.58,10311.06,832.65
-84,934.66,564.4,594.19,8627.1,901.68,3064.67,13900.7,667.2,667.2,9322.4,991.9,846.76,2554.97,10742.6,2842.69,2588.35,452.77,7167.2,7167.2,7167.2,551.3,453.8,79.73,641.01,860.6,1000.1,1949.98,551.3,2103.1,14266.53,1736.02,874.04,884.38,4560.26,661.68,6219.1,6219.1,6219.1,593.6,4003.65,110.22,789.6,3920.74,1801.17,596.96,796.58,10311.06,832.65
-83,952.64,564.4,586.45,8693.31,901.68,3143.96,13900.7,676.6,676.6,9255.4,993.76,843.91,2613.61,10652.4,2850.4,2595.68,456.28,7187.3,7187.3,7187.3,542.1,447.6,80.11,658.72,858.73,1007.31,1947.92,542.1,2092.87,14179.26,1732.03,862.69,880.81,4552.34,661.21,6237.8,6237.8,6237.8,590.2,3978.46,109.98,789.6,3939.43,1812.1,574.36,798.64,10423.2,845.14
-82,968.53,547.4,586.22,8673.86,929.94,3124.28,13900.7,662.4,662.4,9247.7,991.33,855.45,2599.97,10257.5,2868.1,2639.84,456.28,7123.7,7123.7,7123.7,549.0,439.5,80.97,647.53,851.79,1011.92,1947.75,549.0,2122.12,14163.61,1728.45,855.39,884.31,4552.34,663.36,6238.6,6238.6,6238.6,568.8,3978.46,108.55,789.6,3939.43,1815.48,591.55,802.42,10630.94,858.02
-81,967.15,543.6,586.22,8647.62,933.07,3189.35,14049.9,669.4,669.4,9084.6,981.82,842.15,2546.78,10339.4,2876.26,2643.15,456.28,7122.8,7122.8,7122.8,552.3,439.6,80.27,641.61,840.14,1011.92,1939.45,552.3,2132.85,13870.5,1746.48,867.93,877.9,4552.34,663.36,6223.7,6223.7,6223.7,566.2,3978.46,109.38,789.6,3939.43,1786.77,591.81,790.04,10582.12,849.95
