,0
2024_French Senate election_FRFIN,0.5120578407806191
2023_Spanish general election_IBEXIB,0.23490640100826982
2023_Dutch general election_NLFIN,0.3322260231232378
2023_Polish parliamentary election_BNKI,0.37104365675377105
2023_Greek legislative election_FTATBNK,0.3817144770936921
2023_Finnish parliamentary election_N3020PI,0.5151544405359507
2023_Italian local elections_FTITLMS30,0.40116854373178457
2023_Spanish regional elections_IBEXIB,0.40219242710144815
2022_United States elections_NYK,0.37558783875916035
2022_French presidential election_FRFIN,0.30719645599588097
2022_French legislative election_FRFIN,0.22446265239441449
2022_Swedish general election_SX3010GI,0.316888067098411
2022_Italian general election_FTITLMS30,0.3825767227947547
2021_German federal election_CXPVX,0.24623333893924654
2021_Norwegian parliamentary election_OFING,0.20421019000803975
2021_Dutch general election_NLFIN,0.3415110735527873
2020_United States presidential election_NYK,0.33728856725094813
2019_1_Spanish general election_IBEXIB,0.67725936695414
2019_2_Spanish general election_IBEXIB,0.3500333752009138
2019_Portuguese legislative election_PTFIN,0.3968328205013651
2019_Greek legislative election_FTATBNK,0.3921866238693094
2019_Belgian federal election_BEFIN,0.2717873013972115
2019_Danish general election_OMXC20,0.5840907225006007
2019_Finnish parliamentary election_N3020PI,0.5456052661292529
2018_Swedish general election_SX3010GI,0.7907035770442133
2018_Italian general election_FTITLMS30,0.21734517820176186
2017_German federal election_CXPVX,0.1942353974680854
2017_French presidential election_FRFIN,0.2804063198367845
2017_French legislative election_FRFIN,0.3387520021168149
2017_United Kingdom general election_TRINMX302020,0.25199885761768787
2017_Dutch general election_NLFIN,0.36647132185756276
2016_United States presidential election_NYK,0.2437348679107365
2016_Spanish general election_IBEXIB,0.3273254740234652
2016_United Kingdom Brexit_TRINMX302020,0.45182068087388483
2015_Portuguese legislative election_PTFIN,0.3969668501277178
2015_Spanish general election_IBEXIB,0.46168614772708577
2015_United Kingdom general election_TRINMX302020,0.37085426998714827
2014_Swedish general election_SX3010GI,0.4271146551882644
2014_Belgian federal election_BEFIN,0.4624110669866475
2013_German federal election_CXPVX,0.3565469048723392
2013_Norwegian parliamentary election_OFING,0.20449113184817236
2012_Greek General election_FTATBNK,0.3978722612390334
